PredictionString,image_id
0 0.71788114 244.12451 683.5214 303.06378 748.43134 0 0.6218549 486.12872 596.8442 590.2165 648.92523 0 0.1909223 497.52362 639.2064 579.2414 754.64136 0 0.09330408 449.47964 607.5723 607.31824 748.1257 0 0.0772341 394.90555 636.35815 419.7554 693.41016 0 0.058976457 470.27502 579.9562 559.619 599.55676 1 0.99195546 553.50903 100.21394 753.04785 363.18274 1 0.8873939 641.50653 255.1557 735.91376 343.82227 1 0.8715066 668.17865 258.7307 729.49445 326.78937 1 0.16018385 622.4951 165.03644 741.40625 352.48267 1 0.13384233 483.12494 611.34705 506.06238 657.3037 1 0.09016442 577.50397 180.91986 693.5435 358.54926 1 0.06569968 391.94864 610.1502 445.0156 719.7076 1 0.051417436 394.90555 636.35815 419.7554 693.41016 2 0.054679833 389.51407 631.745 431.97775 718.89575 5 0.9891139 337.11325 632.22284 397.67636 722.80304 5 0.8307782 388.34622 680.45135 429.36008 719.4969 5 0.7133495 348.60297 673.89624 475.06354 724.5209 5 0.37393346 244.24367 683.3403 303.06396 748.413 5 0.35020363 384.95084 663.17596 458.46085 722.3204 5 0.3352632 391.61615 611.7433 444.4425 721.31946 5 0.32764456 382.9962 628.2729 474.29904 726.61285 5 0.3257555 486.27057 596.4947 588.44965 648.80536 5 0.24664964 328.8457 638.0807 348.92206 686.2416 5 0.23732898 388.80518 645.2848 424.65002 723.45447 5 0.22823133 336.2973 650.4194 456.53485 735.83685 5 0.11330743 331.1385 680.0436 349.43042 740.5731 5 0.10360721 402.4495 621.3574 442.30838 692.3617 5 0.092558645 317.68823 580.27637 583.9461 735.0724 5 0.088572636 324.0436 560.7936 423.79184 621.1963 5 0.0808062 340.759 684.13965 396.4731 722.3744 5 0.066886045 332.02475 711.1151 450.76517 742.35034 5 0.063534126 340.49246 602.2608 424.12198 727.6077 5 0.062495615 416.86438 605.57446 469.2232 705.4503 5 0.05941771 415.35263 672.20026 478.23825 726.1589 5 0.053656008 405.3755 618.37994 508.52856 722.39545 6 0.84069866 427.29507 437.00504 565.54144 625.5078 6 0.0992406 244.24905 683.2967 303.06717 748.4045 6 0.050514314 427.22256 545.32294 480.80807 662.7132 7 0.99989223 609.8567 517.357 954.4811 1018.6475 7 0.9998248 117.029465 413.5451 335.13727 716.24286 7 0.999665 207.67395 59.479965 456.6679 471.81445 7 0.9978258 445.75308 593.55035 647.3329 878.0738 7 0.9961164 388.66443 180.17667 608.55035 566.80005 7 0.9831838 262.53317 439.73355 424.75278 581.99 7 0.95991445 586.2109 326.84128 877.12177 610.2793 7 0.9344294 552.02606 334.9579 728.8039 603.76636 7 0.51239157 323.5308 560.434 429.3633 621.2487 7 0.3037099 611.31903 606.4489 650.51495 750.8465 7 0.2789281 485.80563 597.7105 598.3576 649.3687 7 0.26621526 524.76044 597.02325 645.5954 755.6828 7 0.22404702 330.95306 548.7581 451.72302 729.01874 7 0.21666828 447.1695 726.5309 481.03003 824.885 7 0.1583795 215.6758 694.29584 250.95753 734.15533 7 0.111957714 470.6936 581.06946 558.96606 606.3887 7 0.07805168 391.94864 610.1502 445.0156 719.7076 7 0.0577103 394.49274 550.44635 474.4115 732.73785 7 0.051933896 271.80295 452.53174 433.59714 698.103 ,test/0000.jpg
2 0.26801783 345.6668 244.00781 756.65936 698.2691 5 0.987112 138.69786 0.0 495.53174 292.8841 5 0.9346628 346.90863 242.2174 755.27985 699.00037 5 0.1940025 155.35846 4.0914307 765.5543 686.4894 6 0.97831225 754.3654 656.95514 896.883 987.6646 ,test/0001.jpg
0 0.9854232 883.3604 468.45044 1017.601 633.15576 0 0.69260263 78.87958 267.32938 429.9221 612.50366 0 0.41072667 304.9564 336.70572 1017.84204 417.8748 0 0.38803145 449.20795 513.1781 813.3719 669.89453 0 0.34638885 775.96466 456.96198 1024.0 1024.0 0 0.1883444 363.8348 324.2643 1000.14 353.421 0 0.1856004 314.92184 329.9915 1024.0 628.16113 0 0.1632191 505.2249 345.82886 995.81146 368.12823 0 0.13374533 0.7595825 236.1383 138.51912 423.11804 0 0.078501545 790.93176 334.07025 1020.38586 644.90594 0 0.07234328 825.6649 794.4786 879.73047 942.13214 0 0.055085246 242.05429 273.20303 414.58444 631.4884 1 0.97314376 774.27045 458.50024 1024.0 1024.0 1 0.959928 670.14685 227.39038 978.3363 324.61963 1 0.95687395 298.88873 322.21945 1007.73444 754.7135 1 0.95615196 80.48587 270.97336 425.14944 607.27136 1 0.95319295 421.34354 269.88892 640.99585 328.04053 1 0.8409833 674.00836 230.55917 784.61774 325.337 1 0.55757236 972.014 229.54254 1023.8931 248.12326 1 0.18387857 363.8348 324.2643 1000.14 353.421 1 0.11919024 331.0956 329.375 1024.0 551.95306 1 0.10475053 423.93793 306.91205 613.5904 328.9497 1 0.10413061 1.2819061 231.94952 139.92606 452.80414 1 0.0960279 338.19327 485.83066 831.6638 745.00085 1 0.089924365 959.12195 222.121 1024.0 381.85165 3 0.3859252 995.00726 303.93805 1024.0 382.58215 3 0.13382642 1002.53394 306.2129 1024.0 334.96442 3 0.11361712 0.66451263 234.94977 138.389 423.97266 4 0.94678575 869.1415 243.74504 917.8286 326.22937 4 0.1013363 995.978 303.42184 1024.0 390.26456 5 0.09806995 362.0643 323.56796 1009.4227 357.45193 6 0.23130676 304.45718 342.54602 1024.0 580.45636 7 0.6494129 770.11456 228.16095 869.41693 236.1308 7 0.085948 363.8348 324.2643 1000.14 353.421 7 0.070803754 757.80524 226.26068 869.6081 241.47757 ,test/0002.jpg
9 0.99987197 161.10199 261.08423 928.7338 821.31555 9 0.21053608 182.6178 693.74176 1020.8522 1024.0 9 0.19892818 1.7032318 0.0 453.8327 862.6771 9 0.07279154 0.0 4.363556 1011.1924 435.01215 ,test/0003.jpg
0 0.942395 441.78973 411.4105 655.457 560.40765 0 0.9380187 418.02637 273.66632 650.2622 582.2964 0 0.34986523 165.11151 294.36066 673.68024 661.4732 0 0.07178274 407.96112 325.99017 818.7852 589.3921 0 0.06079903 246.49573 368.89105 885.0139 772.9925 1 0.99318403 192.31992 274.20807 884.0421 762.4307 1 0.53711087 504.66495 389.15164 877.01843 625.54333 1 0.09664701 159.74857 316.4249 691.5154 661.9072 1 0.0902949 407.96112 325.99017 818.7852 589.3921 9 0.108892806 453.10248 410.62024 653.77167 556.4017 ,test/0004.jpg
2 0.9999268 350.1812 238.98958 772.462 715.2373 ,test/0005.jpg
0 0.99720407 892.2353 784.14154 1020.9401 916.5612 4 0.970234 434.75952 14.670639 663.6521 269.38135 4 0.0659018 352.0747 453.2161 830.6583 727.6846 5 0.9905584 351.6634 453.03497 832.722 726.7675 5 0.9571862 0.0 47.856087 70.058365 224.88452 5 0.056774065 194.89224 645.4523 316.24307 881.4082 7 0.99255025 275.31122 11.924179 416.76715 170.92818 ,test/0006.jpg
0 0.7954088 224.7638 678.8136 1024.0 1024.0 0 0.7307159 42.156586 86.55472 990.6461 999.45825 0 0.1539879 0.0 865.39966 22.24702 1020.60156 0 0.061580375 96.812195 466.65564 854.62164 967.24207 1 0.9971353 884.29865 893.78094 1014.16925 1022.04926 1 0.10333091 990.42694 933.3363 1024.0 1024.0 1 0.10143753 54.42166 83.3096 988.9894 967.90857 1 0.056321263 107.9599 479.0872 839.03107 937.3684 5 0.06573331 0.0 865.3458 22.274578 1020.6278 9 0.9774828 308.49353 75.95456 984.0166 762.63403 ,test/0007.jpg
0 0.98477525 103.79754 907.1975 169.61868 971.04236 0 0.40664002 360.82184 497.92245 467.42694 674.3329 0 0.062346064 346.2553 124.92313 419.0099 220.44897 1 0.9866571 641.98584 638.2055 721.55664 761.22687 1 0.05856589 103.82319 907.1676 169.71005 971.1052 1 0.05775778 360.64642 497.97845 462.27826 674.87836 2 0.9332011 154.01605 569.3759 201.35052 666.83246 2 0.30525827 223.07309 490.63303 335.05313 555.92065 2 0.102469794 226.8459 491.523 290.3636 543.347 2 0.098345615 363.4359 495.58597 449.83453 617.1219 3 0.33716738 597.9587 343.74036 739.8321 471.70465 6 0.9872199 773.6498 281.05768 972.6759 615.726 7 0.99958545 379.70044 481.72137 690.5504 880.883 7 0.99956363 161.52075 528.69183 469.10974 958.4926 7 0.99696666 2.7126846 613.83704 178.7803 878.8308 7 0.98970556 3.25708 357.37833 273.9961 639.48157 7 0.9419162 537.27026 418.99036 705.11816 618.7186 7 0.932959 678.04156 521.68713 788.2841 697.77527 7 0.8484584 345.2889 124.7003 418.7747 220.37657 7 0.7934101 359.96478 496.31998 467.8625 682.4571 7 0.47520152 220.436 490.15973 341.03006 561.4847 7 0.35247102 666.0138 457.89413 818.943 616.15515 7 0.18455064 135.90555 620.89655 181.19156 722.9139 7 0.178398 8.918961 622.4774 179.44699 713.7633 7 0.10978649 19.051338 504.0624 231.60992 639.771 7 0.07188155 383.11243 608.5901 404.86395 668.6466 7 0.057475932 7.9385986 491.01648 175.90536 714.3517 ,test/0008.jpg
0 0.99949837 291.03488 116.02664 664.7783 990.3844 ,test/0009.jpg
0 0.0970924 18.52951 609.29504 494.84518 848.5021 4 0.9996216 211.65869 321.0672 656.5326 480.95575 7 0.9942806 0.0 833.6697 393.78873 1024.0 7 0.1595403 16.365479 607.68506 459.95126 903.67334 7 0.11913169 159.64825 868.9114 414.43347 1024.0 ,test/0010.jpg
