PredictionString,image_id
0 0.33303946 244.6125 681.0922 302.3372 749.02765 0 0.19185358 482.85828 598.1015 586.401 653.7354 0 0.07566192 388.5899 681.50195 426.59113 721.1896 0 0.06119667 474.5666 610.70325 511.52448 680.39233 1 0.9967452 555.19794 104.924126 759.4819 358.4487 1 0.94029105 671.2619 256.80167 732.1441 319.18045 1 0.6776771 636.31366 253.16179 741.59467 341.6914 1 0.4554766 627.8967 142.52525 748.66345 331.74017 1 0.26065803 389.1161 681.45886 426.6671 720.7733 1 0.23768611 160.80539 368.50424 253.71075 443.5895 1 0.17651048 240.88368 410.06586 298.4989 475.13818 1 0.11643454 244.52753 681.09906 302.266 748.94196 1 0.08736428 458.6978 789.3891 478.34393 822.7675 1 0.07616661 565.57336 140.86685 684.43066 349.58698 1 0.063828014 430.93927 454.47067 569.59674 662.2103 1 0.054349285 563.2011 593.05316 658.2122 607.3483 2 0.14064431 388.74796 681.80237 426.58035 720.65784 5 0.9974498 340.65088 633.6867 398.23438 720.2701 5 0.73996615 244.8525 680.9742 302.04837 748.9589 5 0.43423477 400.3538 622.58246 445.24722 692.1409 5 0.38834018 487.17047 598.8349 585.73773 649.65045 5 0.34422103 387.35083 679.5242 432.27545 723.7444 5 0.3124583 389.4558 609.0124 445.54187 724.50385 5 0.2283961 398.2936 634.467 421.15518 688.1684 5 0.21082498 416.69498 610.62744 457.5668 691.54333 5 0.1926553 335.65775 648.964 441.35397 730.6354 5 0.14091843 366.73907 676.0888 445.89807 726.59015 5 0.10367072 327.99765 639.3756 350.17258 683.97473 5 0.100292064 410.03104 553.80615 477.52072 702.9248 5 0.08930152 331.7437 546.4062 450.3396 726.4572 5 0.08071491 386.65225 603.67847 496.27023 687.66284 5 0.07282 326.4955 559.5982 445.58505 626.6921 5 0.062484827 340.51172 686.7248 396.36932 718.70905 5 0.05247064 428.9752 453.71942 569.4525 682.0483 6 0.91567856 432.8289 453.29034 566.4041 673.1618 7 0.9998934 114.46062 408.8161 332.64984 716.7746 7 0.99982697 217.30779 63.647415 456.78094 481.27734 7 0.9997818 603.249 511.96576 948.1919 1024.0 7 0.99809915 448.82672 593.3718 651.84344 876.7993 7 0.99500847 391.73904 181.8027 605.2393 546.12634 7 0.9845099 571.60626 337.56506 887.4815 608.80444 7 0.9654029 555.4772 346.41745 710.5337 603.7379 7 0.9627 257.8384 434.32993 423.35208 594.9451 7 0.52802265 330.29083 546.89575 451.5443 725.4874 7 0.119058535 563.2011 593.05316 658.2122 607.3483 7 0.09068979 217.30934 693.7271 251.51451 733.69135 7 0.07442604 707.0766 307.1343 784.00385 369.25204 7 0.06655586 442.39557 683.86584 474.16058 740.65393 7 0.055416577 450.05655 725.97504 479.42245 826.3106 7 0.05279381 609.82904 598.2159 647.0373 758.2227 ,test/0000.jpg
0 0.16136019 637.86896 650.8994 687.6202 830.08826 5 0.9989384 348.77026 251.64882 765.5414 700.0542 5 0.9709199 141.183 0.0 491.89496 280.04047 5 0.14397298 153.70135 20.144592 776.57074 701.63477 6 0.9443127 761.41626 662.14197 894.6616 995.5242 ,test/0001.jpg
0 0.9633468 1.6608658 244.35492 136.58899 464.00696 0 0.80233353 882.6545 465.42215 1020.01385 632.6414 0 0.7699568 307.30466 324.40424 1024.0 384.75916 0 0.2880855 362.86105 504.126 823.3252 677.817 0 0.2829129 461.10834 511.73358 820.3199 548.99066 0 0.25182408 78.3978 254.1619 412.2451 608.3745 0 0.19823322 674.0159 230.38861 791.6297 324.3808 0 0.19671777 761.67505 226.14946 874.4662 237.35396 0 0.19177495 788.9826 450.92673 1024.0 1019.07336 0 0.18807968 9.987167 272.65546 420.21417 402.51782 0 0.1300076 315.16153 332.99457 1015.17993 514.93744 0 0.11552611 470.09647 513.6004 792.105 580.0789 0 0.07023781 969.19086 231.83598 1021.9108 249.96303 0 0.054746144 808.1908 402.1729 1022.21106 709.09064 1 0.97920555 784.476 452.35205 1024.0 1019.7883 1 0.9778967 75.64488 264.04965 409.6573 605.6489 1 0.97103834 289.49463 357.03458 975.0918 760.43823 1 0.9684845 422.3263 270.3668 642.22595 331.41672 1 0.75994766 670.953 221.24588 1024.0 356.09134 1 0.5365416 673.77264 230.35727 791.5954 324.16428 1 0.52997476 967.5897 232.72527 1022.0996 251.15034 1 0.3187614 950.06647 227.03705 1024.0 372.18628 1 0.14028358 332.16653 477.26474 826.13635 751.9459 1 0.09958403 995.72894 302.61053 1024.0 393.19452 1 0.08117945 821.3191 226.74371 1024.0 383.8952 1 0.07448067 966.3988 226.76268 1022.8721 240.49861 3 0.07184111 995.8599 302.2242 1024.0 392.57236 4 0.4618223 868.2485 248.38622 918.19904 326.10522 5 0.08004304 995.8599 302.2242 1024.0 392.57236 6 0.12435511 317.4925 332.41785 1011.2846 514.4599 6 0.050666027 303.02054 333.36676 1018.4413 422.47705 7 0.071828336 765.8812 226.58673 873.812 237.39307 7 0.057719834 674.56757 230.44606 790.88434 324.30328 ,test/0002.jpg
9 0.999708 172.62527 252.25616 917.5692 825.7222 9 0.36679864 0.0 3.3195038 1024.0 435.3499 9 0.33076552 1.091568 0.0 343.32916 1024.0 9 0.09189648 53.001007 682.4535 1024.0 1024.0 ,test/0003.jpg
0 0.97338796 440.99445 408.86633 649.82367 565.41235 0 0.64814556 420.67096 281.67383 652.9533 582.66815 0 0.09696259 168.63362 281.09552 663.94214 660.7071 0 0.07173629 277.84647 359.05194 886.4192 774.72797 1 0.9926575 206.57846 302.4061 883.49097 770.10815 1 0.2984131 411.03946 314.27307 878.7219 638.95447 1 0.19989575 177.15703 256.00735 667.6543 679.3895 1 0.10174548 419.93103 272.27182 647.4591 585.25037 1 0.07779144 193.93192 410.62134 494.6539 648.1786 9 0.08596996 426.01483 410.39435 651.9687 569.7797 ,test/0004.jpg
0 0.063783355 352.81415 242.81535 773.86237 718.5445 2 0.99616313 353.53046 226.92398 774.4505 718.4492 ,test/0005.jpg
0 0.8931842 893.6348 784.0126 1021.2592 917.41956 0 0.23511824 600.8673 1.1394691 703.11194 88.165634 0 0.10669374 0.0 49.949265 70.15683 222.27483 1 0.053255484 894.14124 783.39825 1021.50793 917.7397 3 0.7778843 0.0 49.54467 69.69744 222.71313 3 0.1458064 194.29134 657.6429 308.5299 876.5429 4 0.9877246 429.75568 16.950981 673.5822 267.2183 4 0.5216772 354.26257 451.6031 832.60205 724.642 5 0.842557 354.23047 451.51068 834.3356 725.0977 5 0.40383992 0.0 49.835228 70.0695 222.45956 5 0.103861794 194.29134 657.6429 308.5299 876.5429 6 0.086469494 600.83905 1.1950493 702.8923 88.98457 7 0.9961274 277.99698 12.384239 418.2783 171.61462 ,test/0006.jpg
0 0.6142746 102.67273 77.68091 994.3817 920.5074 0 0.4902381 192.56573 576.76794 974.6622 1024.0 0 0.07353124 326.3841 5.712311 880.0367 179.84727 0 0.06808648 373.93567 67.80325 1008.9094 669.67285 1 0.9874183 883.7689 888.61316 1016.7229 1022.33105 1 0.39855576 39.914703 97.32507 971.78 962.0615 1 0.37311208 435.84244 891.4025 566.32635 1024.0 1 0.3172861 222.88582 886.3457 586.2679 1024.0 1 0.2210853 358.1209 893.8781 533.17395 1024.0 1 0.13676271 435.06058 958.1297 512.37915 1024.0 7 0.71053696 0.0 863.0899 22.83377 1023.3143 9 0.76584643 278.3104 85.9563 984.98755 788.0321 9 0.13088073 552.50775 455.5204 907.1657 749.2816 ,test/0007.jpg
0 0.8740343 104.54988 906.50476 168.15865 971.69446 0 0.36355317 345.1128 122.55041 419.6007 223.38351 0 0.108549416 361.02618 499.4393 458.70184 685.3697 0 0.09418532 358.45554 0.19183731 413.35837 90.803116 0 0.052415457 228.31989 491.34018 283.753 540.47217 1 0.83324057 640.6325 637.70276 723.9196 761.5277 1 0.2350386 104.50711 906.56006 168.3255 971.6677 1 0.12445443 152.54285 573.1675 202.06155 659.88293 1 0.105908506 359.9927 496.97723 459.1229 658.3803 1 0.067428984 358.45554 0.19183731 413.35837 90.803116 2 0.5559897 228.40404 491.26135 284.5154 540.2871 2 0.15134817 361.53464 497.8088 451.68393 672.15784 2 0.08842598 229.2985 490.81183 334.68375 552.51996 2 0.06805199 152.9881 575.7746 202.52002 659.3039 5 0.20467877 259.81036 576.2662 301.5232 682.1099 5 0.13360532 547.2297 425.65015 705.66486 599.93774 5 0.055040423 11.608948 385.13785 212.53397 566.83716 6 0.9926717 773.29535 280.4624 977.02924 619.38794 6 0.11450369 152.72154 575.77026 201.32097 659.79407 7 0.9997969 382.56415 467.4505 698.95636 881.31476 7 0.99887985 162.70601 536.0104 468.21436 953.7638 7 0.99794286 681.81757 534.68066 783.74164 693.7954 7 0.99577194 3.5719604 577.6522 187.10474 876.40967 7 0.9955884 3.5680084 363.92517 271.02423 634.09125 7 0.9472931 359.47925 498.7145 462.35767 685.15283 7 0.60973567 670.354 450.72717 817.6659 619.2212 7 0.4307594 549.3676 425.28503 704.7419 639.68774 7 0.3227941 345.1128 122.55041 419.6007 223.38351 7 0.25320855 136.30426 488.23688 286.59424 728.04535 7 0.17583482 147.24182 548.75555 225.3888 734.9439 7 0.16442549 387.8215 604.96454 449.40292 688.8195 7 0.1443895 147.83797 569.8688 201.33177 703.5769 7 0.13967438 142.44366 634.78644 183.15823 731.9051 7 0.07442598 5.389969 497.2532 181.06258 745.8351 ,test/0008.jpg
0 0.98822147 283.2126 129.65237 665.85754 981.7057 ,test/0009.jpg
3 0.069722004 56.812286 607.0857 494.24875 730.4933 3 0.054116055 203.93692 320.5747 272.27173 369.9438 4 0.9991615 205.94434 320.24924 659.6422 476.71237 5 0.6419768 56.204254 606.0916 494.66946 725.77094 7 0.9173556 0.0 840.3058 401.9756 1018.8865 ,test/0010.jpg
