PredictionString,image_id
0 0.75342476 244.16144 683.54974 303.31012 748.57806 0 0.670134 485.77573 597.0172 591.1091 648.8866 0 0.17451224 497.20044 638.90607 580.23 754.04376 0 0.12644954 453.9449 610.9126 607.2321 752.2854 0 0.06931801 393.5499 611.8537 445.392 711.71796 0 0.06080569 394.72455 639.5575 418.82166 690.2645 0 0.054539394 446.89014 727.01294 481.2033 824.91174 0 0.054046687 470.23468 580.25165 560.6314 599.76996 0 0.05047886 482.4585 612.133 507.61835 658.6783 1 0.99264014 554.4928 100.408264 751.70105 364.1188 1 0.9064882 640.6017 254.8367 736.45044 343.4656 1 0.20421346 611.9482 166.6463 738.158 353.09705 1 0.15939318 575.8569 179.11357 693.00726 357.97815 1 0.111353904 483.08823 611.7054 506.4777 656.8266 1 0.05485048 190.62857 405.8971 254.47217 443.99963 1 0.051143777 558.3429 337.95676 720.5337 600.0421 5 0.98933333 336.7943 633.4368 397.63562 722.87115 5 0.8367179 387.93085 680.7454 430.51263 719.7249 5 0.7639813 347.49548 673.8119 476.07916 724.7633 5 0.46676314 384.40262 665.723 458.39774 721.9596 5 0.36606547 244.22939 683.3026 303.3404 748.51953 5 0.34667838 382.07938 630.0299 476.04575 726.2373 5 0.33754805 391.19064 612.22107 444.08963 721.62744 5 0.30013865 486.0839 596.781 589.7229 648.77014 5 0.21987887 388.31116 645.17236 425.85577 722.6272 5 0.214031 328.63406 638.56604 349.15195 685.46985 5 0.12792346 340.7141 685.05554 396.38507 721.97107 5 0.10888384 334.64047 683.1117 446.39847 740.10706 5 0.10795062 323.43942 559.49023 429.95468 621.13257 5 0.094304755 331.29517 680.8841 350.22058 740.5745 5 0.09251776 331.18585 710.847 451.14813 742.35626 5 0.064979225 401.84442 626.69244 442.02795 691.46515 5 0.06326183 415.86234 604.5722 473.27274 710.47565 5 0.05402804 406.7833 672.8575 446.11386 720.01935 5 0.05142971 394.19617 549.791 468.58966 734.223 6 0.8219401 427.9563 431.1473 566.4284 648.99695 6 0.086243875 244.28671 683.27905 303.2911 748.5078 6 0.0509623 427.36295 545.59546 480.91104 660.765 7 0.99989784 610.1061 516.3447 955.2988 1019.73865 7 0.99983263 117.31516 415.27478 335.00232 715.8645 7 0.9997116 207.02116 59.51883 456.71124 472.39737 7 0.9983368 445.68094 592.8981 648.8895 878.28357 7 0.99547887 387.43103 179.84178 610.1846 570.0065 7 0.9821369 263.6718 439.77258 424.82172 581.95874 7 0.9584947 583.8944 329.17218 878.4512 609.78925 7 0.93522936 552.2007 333.23438 731.63525 603.00977 7 0.40976462 322.20566 559.2687 435.17838 622.406 7 0.29067442 531.79675 594.3974 646.1222 751.3913 7 0.27411774 331.91498 548.4703 453.27393 730.2547 7 0.27061033 485.1898 597.5715 598.6779 649.81244 7 0.2232912 610.55334 606.5725 651.1045 748.1008 7 0.20694502 446.89014 727.01294 481.2033 824.91174 7 0.14879961 215.39828 694.3986 251.58917 733.85333 7 0.117972486 471.00543 581.41754 560.0927 606.8577 7 0.107931696 326.88498 565.7436 390.08163 619.54486 7 0.07422437 393.2164 611.2714 445.72928 716.6623 7 0.055173155 394.19617 549.791 468.58966 734.223 ,test/0000.jpg
2 0.1958989 346.17273 241.45242 755.98206 698.3458 5 0.9803622 138.8661 0.0 496.945 292.26447 5 0.95937586 347.10114 243.18997 755.52545 700.0043 5 0.2577686 160.61517 17.705261 756.47705 694.49347 6 0.96967006 755.9334 656.9702 896.0114 987.0674 ,test/0001.jpg
0 0.9785478 884.0446 468.02646 1018.23285 633.7473 0 0.8062242 79.129944 270.00223 428.9567 611.6288 0 0.4253587 778.50073 455.04068 1023.4558 1024.0 0 0.35306847 324.07465 337.699 1012.8532 426.20035 0 0.31608298 448.83844 513.6637 813.03876 668.4109 0 0.2067779 496.47452 346.0222 997.52527 367.92038 0 0.18879178 363.8979 324.30542 1000.633 353.5108 0 0.15237476 280.42023 330.162 1024.0 588.2826 0 0.08698025 786.1114 335.48288 1019.10016 645.2977 0 0.077372454 0.0002975464 235.00742 141.26926 419.9672 0 0.07451753 826.9142 798.4982 879.54456 939.06366 0 0.0624317 69.78134 339.48065 400.31735 482.29626 0 0.059863478 236.90344 277.637 414.73145 602.922 1 0.973077 295.15216 316.14856 1016.757 763.06946 1 0.96653104 670.71234 227.4515 1004.34064 326.24905 1 0.9640047 774.54517 459.40076 1024.0 1023.8102 1 0.9533268 420.9101 269.59985 641.91046 328.15234 1 0.9387836 80.43666 271.21417 425.92853 607.47534 1 0.87953156 670.58026 226.61998 820.0789 325.0146 1 0.63848805 972.26697 229.06705 1023.9758 248.5708 1 0.29835865 363.8979 324.30542 1000.633 353.5108 1 0.1524119 422.2416 307.35117 615.21216 328.89743 1 0.12945479 326.7336 328.7437 1024.0 555.2789 1 0.11426972 787.7784 230.49086 966.9554 355.36554 1 0.10041332 957.6823 222.21735 1024.0 379.8155 1 0.06995108 351.37177 279.21756 730.5734 343.0657 1 0.06992482 337.46887 486.51105 833.1052 745.1115 1 0.061290257 639.40283 318.36246 1004.3585 361.98422 1 0.05739285 973.0407 226.62663 1023.2027 266.0847 1 0.056196284 0.3575592 229.37122 142.09998 446.10486 3 0.44421166 994.79626 303.96 1024.0 381.45926 3 0.11608517 1002.40247 305.96378 1024.0 334.58572 3 0.08697575 0.009498596 235.11658 141.22742 419.6277 4 0.948719 869.1445 243.8632 917.88617 326.3095 4 0.07849723 995.93335 303.77924 1024.0 389.13385 5 0.10875251 359.8116 323.30206 1011.8772 357.2312 6 0.13283634 300.07587 343.6497 1024.0 594.53625 7 0.69767815 768.6661 228.20477 869.72076 236.2225 7 0.08408412 359.8116 323.30206 1011.8772 357.2312 7 0.058272664 750.3259 226.18576 871.58484 242.83627 ,test/0002.jpg
9 0.999846 161.86777 261.3099 929.1885 821.7988 9 0.17248946 0.0 0.0 448.3409 867.7552 9 0.13409382 0.0 5.1917725 1015.5886 436.35724 9 0.052859742 197.55905 694.1167 1019.92053 1024.0 ,test/0003.jpg
0 0.9776349 440.11078 411.89932 655.3758 560.3283 0 0.768032 418.28235 307.49533 663.8375 579.20374 0 0.36027327 158.08032 308.53387 679.70636 654.5516 0 0.086429656 185.59918 262.87518 860.8509 761.68964 1 0.9915412 194.93689 272.27454 886.4856 765.9686 1 0.5000116 502.34937 388.8982 876.1221 625.3226 1 0.07221402 158.08032 308.53387 679.70636 654.5516 ,test/0004.jpg
2 0.99989974 350.3167 236.56737 777.4451 716.3776 ,test/0005.jpg
0 0.9950936 892.4988 784.35474 1022.077 916.89844 4 0.9662293 435.1096 11.22345 679.63135 269.49353 4 0.05928919 354.44275 453.062 830.22876 726.62524 5 0.99125224 353.20105 453.58923 832.35693 725.745 5 0.9550306 0.0 48.562378 70.22493 224.99298 7 0.98730403 274.28998 11.339592 419.30298 171.93759 ,test/0006.jpg
0 0.87161595 25.024628 76.52368 990.75024 996.5764 0 0.73691916 287.69357 648.92114 1024.0 1024.0 0 0.17487979 246.41873 6.580307 1024.0 272.29163 0 0.15934877 0.0 865.01556 22.24804 1020.49335 0 0.063716784 84.79898 481.26184 861.36926 965.49036 1 0.99591017 885.34753 893.34924 1014.2435 1022.4719 1 0.15604831 990.2732 933.71606 1024.0 1024.0 1 0.06222761 63.55429 79.22739 991.3274 999.1465 9 0.9363239 305.2865 74.982666 989.89465 759.5668 ,test/0007.jpg
0 0.9893008 103.684265 907.0811 169.92996 971.16144 0 0.40767306 360.4911 497.39664 466.87427 682.7681 0 0.05344779 346.15698 124.945694 419.1292 220.49962 1 0.99259466 641.46423 638.0808 722.03503 760.901 1 0.06922204 360.51053 497.3097 467.06387 682.6139 2 0.95600355 153.60138 569.63275 202.14969 666.2585 2 0.2225578 220.66678 490.87485 310.4857 548.4663 2 0.1255373 363.15842 495.6307 449.9825 616.4418 3 0.22870667 598.5433 343.52365 740.50336 472.5908 6 0.9827685 774.21 280.97452 973.3106 617.27356 7 0.9995598 380.7781 485.26093 692.2406 879.5911 7 0.99950397 161.65027 530.1355 467.92163 959.7118 7 0.99626094 2.6165314 612.05615 179.79623 880.65344 7 0.9908897 3.044693 358.21417 273.0465 644.5055 7 0.96095747 682.79675 526.88324 788.2156 696.0938 7 0.95610434 538.62714 420.08646 704.9268 614.0668 7 0.80821866 345.0283 124.71808 418.81027 220.47601 7 0.7471536 360.5139 496.92175 467.20963 682.5416 7 0.5616918 220.46326 490.4049 335.23676 557.1378 7 0.32521394 663.3329 454.42725 819.12573 618.9918 7 0.19104417 137.59998 622.87274 181.56174 721.9028 7 0.167178 7.616539 624.1676 181.33768 714.6427 7 0.07410413 10.164597 501.89783 197.71983 643.94666 ,test/0008.jpg
0 0.9997037 290.51056 121.59216 665.862 989.28394 ,test/0009.jpg
