PredictionString,image_id
0 0.19147128 473.3411 611.7589 509.96457 666.865 0 0.13536917 477.69714 598.25574 593.1023 649.1654 0 0.10401758 245.73544 681.2272 300.46353 746.6832 0 0.10049602 428.18692 530.3143 569.47705 652.0589 0 0.059652627 416.55896 591.24963 608.3168 684.5879 0 0.056372013 395.99396 541.45233 509.2024 676.97394 1 0.9956097 551.79553 107.49375 764.40625 360.05432 1 0.5144627 668.6669 257.93515 733.0325 321.65897 1 0.46271652 157.2544 368.4352 256.46817 447.42697 1 0.41205123 638.0345 254.09352 739.0052 342.09723 1 0.20241348 239.20119 407.28726 316.75726 464.1904 1 0.2000387 532.1426 96.73221 905.4291 625.43713 1 0.16733949 709.2491 309.0289 777.1512 361.41513 1 0.16104187 637.35535 155.86472 748.9343 347.28326 1 0.14524865 389.13858 680.77405 427.94608 719.75903 1 0.1191469 459.4145 788.2738 479.81042 823.9851 1 0.09066007 244.94092 681.8738 302.2658 746.7457 1 0.078436986 676.4448 308.29565 769.22644 350.10986 1 0.07687871 212.65334 380.07993 252.6298 447.34213 1 0.05697197 570.7757 158.0304 673.7818 357.4192 1 0.056923743 168.795 427.70166 205.2707 449.31512 1 0.05209163 474.76077 96.43591 815.36694 447.1009 2 0.16443251 389.15854 680.7615 427.96988 719.6393 5 0.9886497 340.8366 632.4453 399.31488 721.3634 5 0.7544584 245.19594 681.7826 302.1727 746.96533 5 0.37919202 397.17856 621.2634 451.1326 693.35486 5 0.36820093 389.30603 679.8205 429.23138 720.6613 5 0.26886472 338.20435 657.422 451.101 729.0178 5 0.26176035 340.28262 684.33246 396.4518 716.29156 5 0.23755883 389.50098 609.3883 465.1477 723.17114 5 0.23152982 413.12772 616.2598 467.0007 689.3035 5 0.21197152 382.66064 672.97144 475.185 726.91064 5 0.20231324 478.96582 598.27026 594.3578 648.58765 5 0.16406232 343.77423 677.9454 430.69598 722.29535 5 0.15260106 332.66208 560.6517 453.53934 623.0822 5 0.1300111 384.01218 648.4471 442.11594 727.106 5 0.0978153 349.04947 549.3015 449.42355 668.41626 5 0.09761449 396.07098 651.62476 449.33453 686.4806 5 0.078282624 329.384 638.90564 350.57236 681.07043 5 0.068820074 326.02628 548.46594 476.9371 720.2682 5 0.06486333 452.42313 589.9596 596.3884 671.1146 5 0.062295657 385.55844 611.9943 501.89255 688.7741 5 0.05436103 330.46393 568.8614 387.25146 613.16656 5 0.054118738 396.6126 636.1829 420.65723 688.50446 6 0.8521794 431.28174 453.93243 569.39526 660.4891 6 0.22118023 245.34518 681.78186 302.14175 746.8081 6 0.15121524 436.17804 540.95807 483.62927 663.7496 6 0.07258153 329.66135 638.7585 349.70187 681.0129 6 0.051556997 458.22977 782.20276 479.21573 826.68164 7 0.9998274 598.9524 513.6172 947.5116 1022.60474 7 0.9994815 116.326225 396.83344 332.86172 716.4821 7 0.9992632 210.28592 59.263947 456.60495 492.5712 7 0.9982827 444.27798 592.32764 661.4167 872.7318 7 0.99675876 544.00006 324.32147 885.76263 606.9796 7 0.98924553 391.20865 171.2852 607.4514 548.98444 7 0.8361485 255.76117 433.43616 432.4348 605.30896 7 0.7891675 553.7631 341.05432 726.68585 600.459 7 0.3235941 331.20468 556.87866 452.01437 633.548 7 0.31813994 321.5942 555.3293 465.7936 688.8603 7 0.27601597 218.16974 690.59143 251.65298 731.1045 7 0.18349624 103.70714 396.2943 612.918 713.7521 7 0.13127068 394.19757 141.92337 699.86176 682.3419 7 0.12822172 245.31894 681.7577 302.16592 746.8545 7 0.1268288 425.20294 335.46692 647.33246 881.6874 7 0.115342066 715.3563 309.327 780.7363 366.02994 7 0.10747234 570.81226 593.9043 655.93225 607.78467 7 0.07670737 448.63873 729.27057 478.9771 826.8792 7 0.07120178 203.58719 124.38739 781.1538 507.95648 7 0.06094331 463.38397 594.52466 619.2259 667.3363 7 0.052479807 703.05774 335.23166 761.6371 351.52792 7 0.05134793 219.1919 677.6607 289.4748 732.159 ,test/0000.jpg
0 0.256845 634.9558 654.37726 688.6056 827.2183 5 0.9946807 350.5779 248.64398 770.06445 691.7282 5 0.959115 134.73065 3.3730927 504.8927 284.32562 5 0.49196625 115.897156 0.0 783.28375 720.2654 6 0.8536489 755.4967 662.0497 898.42236 993.24194 ,test/0001.jpg
0 0.5611203 318.92096 332.1138 1024.0 384.31674 0 0.49952695 880.0498 466.1893 1021.6406 634.9439 0 0.24669294 0.28211212 235.80579 146.5231 461.83234 0 0.18733625 774.3059 226.8643 869.99915 237.7141 0 0.1844562 305.7577 325.90033 1024.0 614.45544 0 0.18307346 17.281769 264.30292 439.83826 564.07416 0 0.14462398 782.4367 444.56604 1024.0 1024.0 0 0.13051088 680.2684 230.0053 764.3914 326.42822 0 0.11117436 324.99097 455.00748 874.79944 658.9731 0 0.09084053 470.50763 512.9676 796.0256 598.6091 0 0.06496207 560.67645 344.61948 976.915 367.52554 1 0.98158747 70.1304 267.12735 409.46985 604.13367 1 0.9725074 780.311 443.72736 1024.0 1024.0 1 0.95461327 418.77725 269.42276 641.45593 335.20157 1 0.90735906 278.96735 322.49304 1019.56683 788.0531 1 0.8679709 671.30945 226.09467 1024.0 351.13928 1 0.62866867 969.8702 233.80676 1023.4672 250.82007 1 0.58903724 669.7824 229.90688 787.61835 323.6355 1 0.20554887 661.57007 288.95483 731.9656 323.20984 1 0.20496291 956.83563 225.8844 1024.0 372.19928 1 0.18700942 309.97208 267.77817 1024.0 570.08606 1 0.17756325 313.70453 448.9684 854.13116 752.46765 1 0.16454346 963.5569 231.27933 1023.9802 265.21945 1 0.15279049 841.8279 234.34766 1024.0 380.36188 1 0.1493319 966.0701 225.79199 1023.56476 238.28265 1 0.14625125 329.16736 223.53958 1024.0 410.5234 1 0.11463698 7.8134613 265.7707 428.08154 399.84827 1 0.08926521 879.2893 466.35226 1023.42114 634.4971 1 0.07230054 564.5733 237.30328 1019.6193 1024.0 1 0.054591753 0.0 235.1709 144.05426 458.89 1 0.052337028 990.209 304.82718 1024.0 373.0599 3 0.22956097 1002.71185 304.47046 1024.0 332.88635 3 0.2156062 0.0 232.6463 149.57477 463.35394 3 0.09762274 997.7727 304.9433 1024.0 380.64368 4 0.3885435 865.74866 249.09663 919.87866 325.0699 6 0.37124667 310.06018 329.5025 1024.0 567.1246 6 0.3682487 306.17844 333.9731 1024.0 419.20963 6 0.17044497 319.79996 329.38156 1019.0659 372.68045 7 0.28066894 774.3059 226.8643 869.99915 237.7141 7 0.0610785 672.9674 230.02496 788.20593 323.6208 ,test/0002.jpg
0 0.06821799 5.137741 0.0 415.0844 1020.60376 0 0.05666447 0.0 0.0 1024.0 486.75433 9 0.9980007 160.78912 246.51028 917.4715 816.12585 9 0.20791495 14.461182 709.5591 1024.0 1024.0 9 0.098855086 0.0024261475 0.0 329.8122 1024.0 9 0.08217727 0.0 0.0 1024.0 486.75433 9 0.0681446 163.05775 261.9681 483.09076 848.1223 ,test/0003.jpg
0 0.44318548 423.29257 373.34656 673.36224 570.2686 0 0.31738633 250.4638 351.20908 889.22455 785.74255 0 0.18545091 164.59999 303.18576 669.7271 656.02856 0 0.07006786 344.4104 274.1949 645.2396 590.1943 1 0.88004386 196.76932 266.71796 891.4315 777.6982 1 0.30616605 388.33444 305.66516 890.0619 653.5065 1 0.1552049 164.59999 303.18576 669.7271 656.02856 1 0.11704469 191.28786 405.52014 479.9923 654.00635 7 0.07998503 274.62283 296.4203 900.65247 761.78564 9 0.75618434 418.91248 407.76202 647.72595 565.3168 ,test/0004.jpg
2 0.9996973 337.66495 228.56085 790.8932 711.2442 ,test/0005.jpg
0 0.74057853 891.3499 784.73706 1021.929 916.50464 0 0.07895979 8.673645 303.01343 238.34918 774.5292 0 0.057152864 0.0 51.88755 70.45794 221.16718 1 0.16850495 891.9656 785.4626 1022.2748 917.0605 2 0.07504226 892.3792 785.0614 1021.6246 916.84753 3 0.7916178 192.73221 647.1225 310.15945 878.0223 3 0.5432249 0.0 54.215134 70.48014 220.7678 4 0.99321586 357.37604 451.61792 839.2952 718.08936 4 0.9847825 427.40344 14.624496 659.47876 269.36395 4 0.088432334 0.0 51.824356 70.73413 221.04216 5 0.09350289 0.0 53.28679 70.44763 220.79219 5 0.07199454 358.49786 450.83563 838.3143 717.1248 7 0.99698037 274.93942 12.328926 413.26285 170.6901 7 0.3331047 0.0 50.669075 70.97386 221.16858 ,test/0006.jpg
0 0.6509208 39.519867 84.60089 983.4783 976.10944 0 0.35422274 334.92273 593.4132 967.93005 1024.0 0 0.17906183 550.2427 470.4139 910.7694 744.9863 0 0.10628234 36.409637 430.8414 734.61804 1018.0244 0 0.096168816 836.61914 297.2224 1014.8412 1024.0 0 0.08339901 523.1526 73.200134 995.11316 592.02936 0 0.058604952 353.83072 193.26468 919.7781 751.6753 1 0.9853109 883.70764 886.7405 1017.126 1023.41223 1 0.48304617 219.01216 882.9793 580.818 1024.0 1 0.25181893 77.63907 86.2027 984.453 911.5015 1 0.1617117 357.11856 892.9401 530.8654 1023.2497 1 0.15714829 437.2035 956.22455 501.54175 1024.0 1 0.08656249 434.65356 892.64 553.0064 1024.0 1 0.05720869 195.54489 606.38074 984.4802 1024.0 7 0.7875554 0.0 864.6528 22.304768 1023.0483 7 0.059938196 195.98538 97.28009 977.97156 801.847 9 0.52420026 280.9899 90.14514 981.5194 783.4157 9 0.09121558 551.5057 471.74176 906.1291 745.07135 ,test/0007.jpg
0 0.84984004 102.855606 906.7364 169.19994 970.4217 0 0.13091391 357.81836 497.84854 461.15198 683.5204 0 0.11907473 345.04178 123.79561 419.17563 222.73232 1 0.34830222 102.84773 906.80725 169.23988 970.3789 1 0.30444902 644.5235 636.9769 723.1508 760.0381 1 0.13506907 350.19522 0.0 417.16507 91.67341 1 0.09620032 357.81836 497.84854 461.15198 683.5204 1 0.09483501 152.34897 573.79926 202.12195 655.2321 1 0.06527865 356.88824 498.40756 449.57562 596.8734 2 0.48982975 228.57051 491.4072 294.60226 535.1465 2 0.14045826 358.75882 498.86554 449.09952 602.9538 2 0.05197316 102.66115 906.56885 169.5425 970.4055 5 0.721279 546.0385 427.6093 708.2486 565.92053 5 0.1824094 260.01746 572.8107 302.3581 676.75604 5 0.08650894 356.88824 498.40756 449.57562 596.8734 5 0.054356985 24.637299 495.67603 123.47687 551.58997 6 0.9934841 770.71423 275.24393 975.1332 617.8966 6 0.4374804 355.78702 498.01443 442.62802 587.00323 6 0.4136348 358.2663 497.65796 461.59784 680.6549 6 0.29897618 153.05788 573.15424 200.51277 652.93353 6 0.12554933 673.9306 450.54993 819.3006 620.01697 7 0.99959236 375.04956 464.281 701.61316 881.089 7 0.9990909 2.588562 603.28217 187.09578 875.66754 7 0.9973591 164.28297 516.4848 463.95984 951.54 7 0.99627787 4.027405 362.17346 274.6548 644.78314 7 0.9574464 670.9667 527.86 787.8978 693.38684 7 0.8206707 344.92343 123.98876 419.42868 222.73898 7 0.5933412 357.78983 496.5959 461.64566 685.9926 7 0.56463957 502.90356 425.36658 815.719 634.93506 7 0.16157609 132.49146 489.12695 334.04895 712.72656 7 0.14856781 146.29893 657.4033 182.70772 726.7709 7 0.14807786 676.1978 458.82605 819.91766 618.1095 7 0.14278309 2.7189894 669.1083 21.158306 809.9011 7 0.11189316 152.67348 571.2596 201.44948 655.65607 7 0.11022958 146.26521 565.6135 201.32368 723.74316 7 0.105702884 223.55017 490.0631 353.755 563.5718 7 0.07810872 163.43073 450.26468 720.1985 939.3629 7 0.07212002 145.47833 525.0539 253.94226 692.8477 7 0.071979925 141.28137 615.9015 188.4349 730.3032 7 0.06381321 0.0 423.53186 195.65317 700.37634 7 0.06322375 546.3246 427.26624 708.8142 572.8996 7 0.056508217 159.66315 493.69916 330.95328 617.61017 7 0.054236006 228.74854 491.38425 292.0362 535.9671 7 0.050802615 2.122754 684.4022 16.367664 767.46497 ,test/0008.jpg
0 0.9977582 266.958 127.95285 670.74976 994.3623 ,test/0009.jpg
