PredictionString,image_id
0 0.3752514 481.56976 590.0354 565.9001 669.4324 0 0.17055917 633.9433 259.28253 742.78217 346.01172 0 0.11568492 497.96173 595.9578 551.34845 651.6672 0 0.09074504 445.63092 597.4777 594.6286 678.7044 0 0.05055787 331.09088 689.9671 357.17145 741.9222 1 0.9395956 564.0488 104.66826 753.96533 368.75427 1 0.7210021 164.53032 363.26752 249.9073 450.0016 1 0.54846615 46.348297 425.11465 160.2727 620.9291 1 0.5352955 634.4587 259.9428 740.24896 343.76434 1 0.23354474 242.13669 407.7228 290.25436 476.40158 1 0.12937233 544.4071 101.45154 887.4182 629.7835 1 0.11450588 478.5844 592.8457 571.305 665.2958 1 0.09120546 637.9523 150.09193 740.1719 343.7464 1 0.083231345 425.2922 453.13776 574.688 684.55804 1 0.073427245 448.82 121.00284 588.1507 222.45853 1 0.07243275 604.3938 236.70027 753.709 360.43005 1 0.069959134 5.717613 291.02368 197.91034 631.6848 1 0.067980416 657.439 101.88516 816.04315 424.26212 1 0.06669954 245.65765 682.74866 300.6872 748.1229 1 0.06493996 460.4091 556.0958 561.30286 601.80444 1 0.056720436 468.34778 601.5042 601.08655 686.5788 2 0.27081767 328.34955 639.396 353.78253 680.1765 5 0.92329866 332.3713 640.2052 398.52097 721.41223 5 0.9045457 28.024902 310.8346 225.20111 432.6012 5 0.83815706 340.845 675.4545 473.1592 736.2148 5 0.49957275 391.8685 619.8227 459.8362 687.4195 5 0.45975783 360.60516 555.51764 448.60608 651.36554 5 0.29364443 328.4541 637.6947 456.5055 729.6323 5 0.22254033 368.42368 557.714 458.51297 719.1045 5 0.20681633 245.64539 682.56165 300.81177 748.2333 5 0.12321218 417.78058 610.7241 451.82397 681.6505 5 0.11080914 394.47412 630.48755 417.25403 685.9031 5 0.093084134 465.4443 637.697 552.6719 687.1466 5 0.09223736 378.4667 683.08826 440.73972 723.64075 5 0.08940252 421.1725 446.76984 583.3496 690.9914 5 0.08896349 376.24023 683.4537 398.22412 724.2077 5 0.08561848 315.33957 567.7148 388.00583 620.9023 5 0.0788219 331.09088 689.9671 357.17145 741.9222 5 0.07454425 424.14484 602.8463 599.91583 682.9386 5 0.07110629 327.24036 639.14813 355.55164 679.8129 5 0.07102704 369.16574 620.3511 419.59537 646.79456 5 0.06662712 406.409 575.2349 454.83606 696.64667 5 0.06557797 475.53143 192.83173 594.94574 389.3676 5 0.051715225 15.924217 215.56827 234.60059 443.0175 6 0.5958714 245.60794 682.56635 300.7988 748.24347 6 0.085444905 328.34955 639.396 353.78253 680.1765 7 0.9991366 607.533 505.6754 944.7994 1021.8231 7 0.99908864 219.98483 57.30725 452.61954 490.20258 7 0.99881315 123.04208 418.0392 329.0851 719.4678 7 0.997542 443.4431 596.40826 647.6118 874.14044 7 0.98188883 390.79828 199.23108 597.5812 552.05206 7 0.9581247 557.73175 337.2761 707.32355 593.1918 7 0.9361256 561.84937 328.71802 888.3696 612.081 7 0.92902684 320.47525 568.0982 381.28342 619.66376 7 0.91924775 253.43764 417.35852 428.55804 580.40234 7 0.23349783 135.46507 419.67834 194.02126 482.93823 7 0.17595708 322.80316 548.3405 465.47028 742.40094 7 0.13835417 476.07104 595.5831 603.22595 661.062 7 0.111312725 144.73134 424.26492 193.2199 453.38547 7 0.10977759 397.83087 236.77411 915.95917 621.2531 7 0.1049313 318.07416 560.1134 450.72925 652.4275 7 0.1002327 542.2378 186.30571 574.11633 237.83955 7 0.096997224 331.29886 639.62354 398.574 719.69336 7 0.068983525 417.28052 445.47202 594.53326 693.8823 7 0.067158885 494.69937 594.2902 557.5759 653.95465 7 0.06252087 274.87448 424.62976 644.421 875.6301 7 0.062379748 539.0634 598.6587 622.4362 649.3301 7 0.053015593 245.924 681.90753 300.64087 748.0695 ,test/0000.jpg
0 0.34786898 766.09766 664.13367 900.71313 978.8772 0 0.18161522 637.0342 670.14166 680.2593 842.48627 1 0.115547374 765.28046 664.5591 901.01337 978.2219 2 0.05695311 346.65564 231.7466 750.51526 699.3203 3 0.24461713 345.3906 240.53452 749.2069 691.89636 4 0.11053121 344.13782 240.38257 745.3584 688.8619 5 0.9973726 135.24046 0.0 497.29742 268.28894 5 0.9482951 344.8662 240.84297 751.7915 697.3521 6 0.8175348 766.0908 660.5288 902.6543 978.3308 ,test/0001.jpg
0 0.76846915 330.31686 320.5582 994.5023 391.0168 0 0.36379614 655.2927 287.77335 730.7848 321.09653 0 0.3191234 881.1355 472.26428 1023.036 644.2529 0 0.2764398 785.0147 419.03625 1024.0 1024.0 0 0.26477292 264.6116 281.01154 305.16336 408.0907 0 0.23420353 94.39325 272.8792 430.49884 422.04773 0 0.21590225 223.01292 272.16556 332.68396 403.76236 0 0.18806963 471.35974 498.75168 788.1233 670.3262 0 0.18388207 121.1006 282.17438 286.71887 599.2398 0 0.12443461 750.2311 226.40009 869.8694 239.34592 0 0.11207894 332.41364 263.58173 976.69794 478.39282 0 0.079475984 123.96002 278.67236 236.03271 464.42242 0 0.053501792 0.0 254.7077 159.29639 461.96405 1 0.98695844 79.19165 261.75812 441.51135 603.4693 1 0.94759023 297.62198 343.92334 978.996 754.9957 1 0.9428275 422.08224 267.44193 647.5676 325.50522 1 0.9354005 668.0265 227.03133 875.9679 323.6867 1 0.85981375 775.3997 400.09262 1024.0 1024.0 1 0.83297217 0.0 237.71103 148.59332 464.1326 1 0.58806854 336.11987 466.18115 810.2228 743.72107 1 0.55934376 94.66576 275.19397 424.09155 440.36652 1 0.42504725 856.7685 226.51718 1014.54425 371.98 1 0.31904015 345.2415 259.5273 1001.99963 390.28275 1 0.19270152 645.5961 225.57927 1005.9134 342.73145 1 0.1820625 90.7068 275.97205 256.27197 605.3227 1 0.09413061 752.3508 246.96996 874.4689 326.2583 1 0.09351738 304.31296 352.78427 370.3392 587.7738 1 0.08914764 0.0 331.725 107.16867 439.6628 1 0.07620072 975.824 231.34207 1024.0 250.65936 1 0.07216293 958.9515 224.79533 1018.05145 379.65247 1 0.068860434 881.2942 473.38373 1022.9343 643.6015 4 0.77704114 869.4014 244.27167 914.00055 324.90216 4 0.12397052 990.2398 297.91733 1023.5682 396.2698 5 0.50150305 990.3115 297.73236 1023.5426 396.39417 5 0.47272095 869.1413 244.32892 914.1038 325.77472 5 0.2709126 0.0 237.20218 149.1055 464.31552 5 0.08158702 881.2942 473.38373 1022.9343 643.6015 6 0.17108044 332.60284 313.7936 994.7453 418.61954 6 0.08562937 315.00046 329.32483 998.91016 669.53107 7 0.3449164 748.5464 226.72586 870.1041 238.46158 7 0.054039005 881.2942 473.38373 1022.9343 643.6015 ,test/0002.jpg
0 0.2711828 1.868042 0.0 1024.0 462.5783 0 0.071107104 0.0 562.60516 1024.0 1024.0 9 0.9957767 113.66785 267.45465 912.187 827.60284 9 0.8809477 24.994537 670.45746 1024.0 1024.0 9 0.8425444 5.947647 416.98825 139.42442 891.3009 9 0.47694936 0.0 444.1328 443.93726 836.6538 9 0.47671136 7.9894104 0.0 967.5707 980.969 9 0.40211618 6.9881134 0.0 503.57422 916.719 9 0.37646672 6.397156 346.5233 340.3099 1006.93823 9 0.3349448 1.868042 0.0 1024.0 462.5783 9 0.24910241 223.78387 773.7809 1008.7209 975.5962 9 0.18470775 239.00865 749.3132 732.04407 938.2978 9 0.055563863 1.2545319 473.2771 75.08686 873.8229 ,test/0003.jpg
0 0.97012895 422.36053 407.1071 663.6401 577.8711 0 0.56235635 175.48645 247.694 874.9219 764.7783 0 0.5208514 412.4254 247.91777 654.1686 571.0963 1 0.57236284 190.0256 286.49643 871.0764 773.6803 1 0.076185934 203.59076 430.8648 449.49414 654.8614 7 0.2528359 186.94281 266.11298 871.2813 771.3963 ,test/0004.jpg
0 0.3045708 357.61215 217.75037 766.34875 709.3781 0 0.1921085 351.32388 224.46317 549.9076 353.19217 2 0.9506251 357.94476 215.81715 765.78815 711.27386 7 0.05803636 334.0032 845.5282 399.95633 871.824 ,test/0005.jpg
0 0.8280254 895.94165 786.75824 1022.2429 914.84283 0 0.68590105 190.97397 640.2521 324.68625 875.6847 0 0.30962935 295.0837 635.566 383.50186 746.52057 0 0.07855689 271.5818 7.1107025 412.45917 169.7806 0 0.07434941 191.37451 547.9824 289.2875 705.12476 0 0.056371477 598.405 0.0 702.8434 89.20599 1 0.096783906 895.9236 787.3413 1022.2008 914.58984 3 0.080115594 294.7951 635.98694 384.72418 746.2726 3 0.051620744 0.0 45.090256 68.68488 220.35085 4 0.8700853 418.13803 6.4904633 721.444 270.15027 4 0.05452849 350.16544 450.66232 836.52966 723.20435 5 0.98637354 352.7119 449.00372 837.06445 724.3461 5 0.39090562 419.05847 6.8649445 724.9845 269.16742 5 0.34131765 0.0 44.173058 67.74131 220.79422 5 0.13999058 294.9759 635.4763 383.61688 746.2202 5 0.08406907 209.82254 376.30914 430.70505 736.6601 5 0.08258604 189.81383 632.05664 336.2212 876.33887 6 0.45398667 598.59534 0.0 702.9413 88.86815 6 0.06574976 3.4703674 264.44952 210.43773 496.0542 6 0.06476934 0.0 811.02466 87.327446 939.71094 7 0.9472062 271.5815 7.3244476 412.56955 169.49246 7 0.11302602 895.86395 787.351 1022.8317 914.5159 ,test/0006.jpg
0 0.52129924 770.15784 89.173485 835.5751 183.86346 0 0.33055207 322.9057 3.4795227 1002.59296 319.57092 0 0.2373706 115.92795 93.720856 984.66907 884.98987 0 0.22386959 0.6727295 523.8728 292.5033 1024.0 0 0.11349311 244.01917 160.40762 477.03662 698.19495 0 0.11141053 135.50546 497.1371 895.0764 910.7649 0 0.10354074 329.51517 56.85414 1004.71326 546.99713 0 0.09095301 338.15338 155.01367 514.6486 670.6418 0 0.07410031 451.8687 428.3062 888.79816 742.63617 0 0.054284524 884.4741 897.00574 1022.5366 1024.0 0 0.05419038 267.7597 543.327 358.43036 743.40906 1 0.9878445 884.24725 897.3284 1022.7851 1024.0 1 0.829598 357.3964 890.15027 610.8266 1024.0 1 0.48749635 991.8329 930.9683 1023.188 1023.89667 1 0.45203653 129.75742 100.519226 984.3976 794.6117 1 0.36712292 135.50546 497.1371 895.0764 910.7649 1 0.23248202 127.21684 163.94171 556.5157 759.8197 1 0.19093876 429.98596 957.65784 518.4632 1023.6914 1 0.1410537 244.01917 160.40762 477.03662 698.19495 1 0.08046139 370.26776 785.10724 1019.10223 1024.0 1 0.07794678 359.97726 895.5054 475.5588 1019.15247 1 0.058811214 431.93146 931.11084 598.1337 1024.0 5 0.079001874 0.0 858.60925 22.70239 1024.0 5 0.076829314 115.92795 93.720856 984.66907 884.98987 6 0.30298313 206.46613 105.847534 960.7519 737.51385 7 0.74589443 0.0 857.976 22.951 1024.0 7 0.13083273 297.23587 93.45181 965.98486 731.359 7 0.08800023 322.9057 3.4795227 1002.59296 319.57092 7 0.07570038 13.142886 859.8988 23.92051 1020.1377 9 0.5282785 306.78568 95.11917 957.2991 730.4169 9 0.07619088 0.84750366 529.06714 292.37314 1024.0 9 0.050702367 443.8911 432.96097 887.8976 740.50305 ,test/0007.jpg
0 0.9329094 0.9697113 0.22169495 312.71973 261.68988 0 0.86294484 105.72371 906.1936 168.76143 969.8568 0 0.08867301 670.69617 450.05884 813.8961 637.11584 0 0.07216595 794.0263 602.7243 829.4395 652.7006 0 0.066336855 687.27386 528.01025 792.2757 697.1732 0 0.051236887 664.3863 445.521 804.55927 537.0519 1 0.9736125 641.75464 632.14746 722.1664 758.4612 1 0.560665 0.0 523.7202 49.5983 683.5825 1 0.21502228 356.8725 498.5631 455.0066 603.7793 1 0.19958176 105.5616 905.973 169.07765 969.9199 1 0.058286022 668.0503 449.81055 814.81555 637.35913 2 0.21775813 356.59213 498.4939 453.5975 602.7583 3 0.8376318 600.24524 349.15747 738.54333 462.99243 5 0.6712138 775.13995 279.66547 969.4545 612.545 5 0.24015245 6.0337296 358.9168 261.37878 573.6162 5 0.11781432 670.15735 445.53363 814.0918 664.1578 5 0.107894495 127.00478 515.7672 149.68695 562.8008 5 0.1000495 356.55563 498.5812 452.30875 602.18524 5 0.07951845 558.5491 430.98987 707.7018 613.9839 5 0.07352509 29.284302 526.6231 147.89558 625.7702 5 0.066900976 542.91223 428.81973 822.1239 628.5278 5 0.06452838 117.86786 512.74304 152.60895 548.8751 5 0.06064534 2.8961716 386.6465 157.11697 549.5438 5 0.058699146 0.0 516.8005 54.358486 687.99335 5 0.05555598 664.3863 445.521 804.55927 537.0519 6 0.65127605 775.27686 279.3875 969.49475 612.4567 7 0.99807334 148.18872 486.8567 461.83966 966.85315 7 0.99431086 2.8109741 612.9031 179.852 885.9487 7 0.9887084 404.04028 457.88376 691.0221 880.2356 7 0.9617095 352.53186 124.62238 421.79065 222.47357 7 0.93505746 689.84485 530.4424 790.7372 694.031 7 0.92165744 9.404266 355.91446 268.25696 637.4475 7 0.90044457 558.7833 431.1274 707.7108 612.117 7 0.624258 356.45602 498.4871 454.87643 603.0185 7 0.60433865 674.4116 442.80988 808.1798 702.32623 7 0.26534677 547.1813 427.5946 819.322 633.74426 7 0.23228088 2.081955 404.4957 264.328 924.64966 7 0.21771316 0.0 520.29584 51.11917 685.4589 7 0.089169994 356.19333 494.95395 463.53714 690.51196 7 0.07971545 231.88736 492.19028 318.70468 547.2369 7 0.07795001 22.98703 482.10403 291.8069 626.41223 7 0.077872336 460.5882 452.08405 701.5693 658.34283 7 0.06264434 360.8574 513.3852 406.58737 582.3222 7 0.05799384 385.43442 597.4018 450.62228 697.86005 ,test/0008.jpg
0 0.97134 287.08905 75.94205 666.94324 974.74963 0 0.16091186 300.54727 686.32104 627.62256 972.27905 0 0.114250176 336.55994 113.91742 649.0927 378.73062 1 0.34024912 288.996 112.52545 667.45544 854.31586 2 0.12452634 289.2636 96.41519 669.201 893.9525 6 0.17734486 288.8072 106.9819 670.21295 870.55884 ,test/0009.jpg
