PredictionString,image_id
0 0.16891855 330.7021 692.7085 357.95587 740.6194 1 0.9456768 557.8091 104.2106 761.10095 362.6315 1 0.5283539 632.9907 255.68033 741.8828 345.1235 1 0.26151678 623.2323 181.54352 744.657 346.3783 1 0.099877246 477.30487 593.7775 572.1691 665.1944 1 0.09854986 570.19855 131.70325 684.2819 366.33527 1 0.07628131 575.6046 107.6514 665.4403 158.81311 1 0.060842466 244.48872 410.40646 290.7798 476.3143 1 0.051762912 157.60202 365.77408 252.50244 450.20053 2 0.42693862 327.99997 640.1187 354.03708 680.4201 5 0.9321239 247.59764 684.7821 300.48532 748.0747 5 0.7879618 336.2959 640.4716 399.211 722.5595 5 0.7351354 337.53934 679.2415 470.4507 730.0915 5 0.7076826 391.50845 612.8001 456.28226 695.18646 5 0.3980494 344.2751 558.593 465.69696 737.80225 5 0.34462273 426.28326 462.66385 569.99097 684.1699 5 0.22170752 324.80957 637.69635 440.73395 733.47406 5 0.21367903 24.091171 302.79724 238.54234 439.38855 5 0.21249977 373.00195 683.7761 428.91095 723.5526 5 0.19305609 323.56342 568.8631 381.30164 620.49896 5 0.17734858 415.0545 612.1326 447.5525 686.3239 5 0.111953676 319.8874 555.4427 446.7431 645.7525 5 0.08583382 459.8585 580.4929 574.66235 673.9208 5 0.074943624 363.6219 558.30994 424.7857 651.95276 5 0.062394645 575.6046 107.6514 665.4403 158.81311 5 0.059356615 337.5174 683.5126 388.60895 713.03955 5 0.05543884 383.2896 639.993 463.48364 732.27313 5 0.05442621 396.86496 629.7831 417.0046 686.6593 5 0.054393798 325.25543 638.60205 405.66278 688.6477 6 0.6106418 426.9611 462.4887 568.548 685.3909 6 0.052360732 328.4133 640.21436 353.67252 680.40625 7 0.9997899 221.86195 58.236633 454.0468 489.0412 7 0.9995432 120.85988 415.05127 333.2646 721.24536 7 0.9988574 601.5237 518.5512 955.7931 1023.649 7 0.9975259 444.76318 601.6222 645.90393 880.5183 7 0.9953461 551.145 340.08426 709.6593 593.028 7 0.9933182 243.34268 407.61136 433.7377 584.11975 7 0.9912674 387.54477 199.2471 598.8974 549.66174 7 0.9869179 641.97766 332.99506 883.3175 607.7408 7 0.84240717 323.89142 568.7009 381.17737 620.93896 7 0.2855133 477.85086 590.206 567.20544 665.5538 7 0.24611676 330.63452 554.7568 468.7729 742.95074 7 0.1032797 425.1717 462.34064 570.91077 684.9792 7 0.062512636 321.64767 563.4735 384.5363 670.79407 7 0.060815923 335.43152 640.3129 399.53912 723.3062 7 0.059059795 223.82605 129.91544 608.7426 554.76733 7 0.058385134 319.8874 555.4427 446.7431 645.7525 ,test/0000.jpg
0 0.09673653 347.71335 249.42131 756.6444 700.2576 0 0.07588085 643.6477 662.04144 680.1738 840.0662 1 0.051783346 751.18854 668.376 898.9317 984.69385 2 0.46910962 349.35846 246.52394 756.76874 697.955 3 0.2719701 349.1056 246.91714 755.1476 694.92957 4 0.07969324 348.63965 246.40591 754.80554 694.19116 5 0.99080396 137.7497 0.0 498.36432 267.55383 5 0.8402364 348.79514 248.12476 756.4486 698.46796 6 0.9711576 764.4508 666.6099 901.5996 986.6944 ,test/0001.jpg
0 0.6459261 302.01016 334.6002 1012.819 378.9612 0 0.61696416 318.01282 319.99942 1001.94775 412.31595 0 0.47680813 265.256 279.63733 304.80533 389.50635 0 0.38792086 775.8595 445.4124 1024.0 1022.93866 0 0.281342 94.68971 270.98148 422.67102 399.48013 0 0.25074276 880.03516 476.85962 1021.1256 643.55786 0 0.23917516 748.57544 227.50511 868.70325 238.47133 0 0.1515646 974.294 233.29097 1024.0 252.47029 0 0.14935601 337.65714 335.32175 984.67163 586.81433 0 0.12716253 94.17143 338.93878 416.8338 411.81555 0 0.09735631 132.90974 332.0702 285.76306 597.47296 0 0.08879743 271.07864 281.60632 291.39395 366.6864 0 0.0520056 174.46185 292.0137 305.71353 344.2242 0 0.050586924 227.42622 546.16504 243.20866 589.2584 1 0.9849486 80.242096 268.74982 438.51578 601.0599 1 0.97417146 417.79196 266.86227 646.32275 324.0541 1 0.9552461 666.1419 224.55959 876.1989 321.29663 1 0.9448819 770.29224 436.76263 1024.0 1024.0 1 0.8526657 295.2429 336.07593 995.56323 756.1128 1 0.6022416 342.78076 484.68726 814.05457 743.3745 1 0.39235803 0.0 247.39699 150.21353 465.05023 1 0.17326452 88.716446 270.40744 424.16913 403.2529 1 0.122542985 972.7115 233.91797 1024.0 253.57861 1 0.10797091 655.9837 288.02356 727.5274 320.3598 1 0.05368772 635.64197 225.1849 1005.8246 346.46964 5 0.97954077 870.9166 243.6911 911.44836 323.52728 5 0.92236257 990.75793 297.19434 1023.7396 396.4666 5 0.7736297 0.0 237.93604 147.39664 476.00403 5 0.05052523 880.03516 476.85962 1021.1256 643.55786 6 0.14735773 322.79242 317.88266 1001.9499 422.5685 6 0.13761166 880.03516 476.85962 1021.1256 643.55786 6 0.11846174 0.0 238.65872 147.47327 473.88333 6 0.089708865 337.65714 335.32175 984.67163 586.81433 7 0.17897506 748.57544 227.50511 868.70325 238.47133 ,test/0002.jpg
0 0.17152444 9.825928 0.0 1009.4379 560.14215 0 0.16270085 0.0 419.57108 1024.0 1011.54834 9 0.903511 75.881226 248.1865 913.22034 841.6581 9 0.8059491 0.0 0.0 995.2848 1024.0 9 0.5746166 0.0 596.4046 1023.2052 1022.08014 9 0.27862623 4.5363464 437.65945 164.60431 875.5021 9 0.17609105 0.0 438.07935 390.9066 851.8524 9 0.1494334 201.65308 767.4291 996.5012 1008.2915 9 0.0564738 0.0 64.13138 498.01187 991.88574 ,test/0003.jpg
0 0.8631516 419.21985 406.41998 665.0818 578.6855 0 0.3932417 186.52078 323.6952 876.6516 773.2218 0 0.36876976 422.6029 260.3576 717.36426 581.87024 1 0.86409557 179.14523 275.4331 870.271 773.0536 1 0.07089892 542.4484 341.48694 730.847 475.41943 1 0.0662246 418.03156 257.79984 727.1611 579.36865 5 0.0550822 419.35748 406.42838 665.04266 578.49646 6 0.05705618 419.24203 406.213 664.766 578.1396 ,test/0004.jpg
0 0.4287773 351.21445 228.91623 781.7357 705.7615 1 0.109885424 358.3122 228.19736 784.6982 704.28723 2 0.8718949 351.7661 228.52386 780.18823 706.0041 ,test/0005.jpg
0 0.7425005 897.4457 788.2192 1022.5979 916.94415 0 0.61296123 189.61795 571.49817 328.75534 872.8308 0 0.57970893 193.14581 549.67053 252.83609 673.0051 0 0.43183175 597.58936 0.0 703.0205 112.25937 0 0.32957232 296.36542 634.9279 379.97083 749.028 0 0.16546668 12.502563 244.0094 253.11383 913.5144 0 0.07378679 186.71788 538.6039 254.97511 854.058 0 0.058160216 108.265 505.9917 321.70508 877.76904 1 0.114904776 296.1595 634.6112 379.7821 748.603 1 0.089116015 897.4593 788.25183 1022.6286 916.9193 2 0.08754434 296.02942 634.5272 379.66467 747.94165 2 0.062200878 897.2038 788.2834 1022.7225 916.75714 3 0.15782209 296.02942 634.5272 379.66467 747.94165 4 0.97340095 422.35175 0.0 720.32355 271.44968 4 0.11837352 348.40735 447.3137 840.64795 728.92114 5 0.95312107 347.1327 448.06415 839.745 727.4063 5 0.8069759 0.0 52.407944 69.78465 219.92549 5 0.12180464 295.95862 634.3688 379.50403 747.7915 5 0.07900651 270.2081 382.9574 414.37625 738.02905 5 0.066211425 186.53227 553.1456 322.76593 874.38306 6 0.29169673 897.4707 788.4547 1022.5818 916.5856 6 0.20429854 597.69354 0.0 702.77716 110.32692 7 0.9904783 268.98492 8.38765 411.91956 170.6805 7 0.22747472 282.0304 401.8761 387.25018 736.37 7 0.12370488 0.0 52.488914 70.18299 220.82513 7 0.06753173 192.38806 546.941 280.05118 693.01935 ,test/0006.jpg
0 0.9288564 549.13873 476.2728 892.2592 741.59436 0 0.5826972 189.92056 94.946655 989.1771 829.2589 0 0.23273717 88.85358 376.91028 953.5097 934.0442 0 0.15383033 0.0 544.10187 292.5404 1024.0 0 0.060362227 361.51398 182.60564 514.76685 661.38446 0 0.051782016 202.6 163.93988 483.05344 689.23016 0 0.050863825 0.0 858.01953 22.89315 1024.0 1 0.9934727 883.91956 896.26935 1024.0 1023.3798 1 0.74888706 360.52078 889.35364 609.16956 1023.8418 1 0.5644874 167.26614 105.45618 984.3231 758.8088 1 0.11734803 118.9382 167.43552 583.9264 787.18384 1 0.10222889 139.13013 472.91296 905.5676 918.70374 1 0.07219063 990.6731 935.0076 1023.7798 1024.0 1 0.055387508 0.0 858.0013 22.857235 1024.0 7 0.4491978 0.0 857.88086 22.936893 1024.0 7 0.055413123 13.693304 858.48376 22.172358 1023.9872 9 0.46564502 306.226 91.15924 967.5881 736.8478 ,test/0007.jpg
0 0.3410149 105.87115 906.25183 168.92023 970.6643 0 0.32916275 793.8391 603.49646 830.1886 654.6439 0 0.24274302 688.72406 533.10803 796.1755 695.4302 0 0.10140285 354.48724 124.784454 420.8277 222.79092 0 0.057855576 670.9747 472.29572 816.04254 617.1536 1 0.98221725 644.4569 635.6795 722.5062 757.2961 1 0.65574926 105.848236 906.27325 168.96503 970.6434 1 0.3583343 0.0 530.5373 46.074486 681.8245 1 0.07813305 688.72406 533.10803 796.1755 695.4302 1 0.06449876 354.4877 495.48404 461.42758 694.1923 2 0.16190606 105.85428 906.31165 168.96848 970.7877 2 0.10400854 154.65277 584.1216 198.71313 664.5155 2 0.10219895 357.56042 498.38666 452.9248 596.8298 2 0.06947309 689.2595 530.37866 796.0137 695.01794 3 0.13170202 600.65967 348.23825 744.1659 462.0234 5 0.19535683 600.9268 348.04266 744.0633 462.0844 5 0.1356536 357.56042 498.38666 452.9248 596.8298 5 0.10724511 777.31244 283.04437 973.9545 616.0176 5 0.10384163 0.0 529.4585 46.327324 682.2451 5 0.078786306 360.34094 506.66235 407.35944 580.55676 5 0.07028909 354.69638 495.4476 461.21506 694.1169 5 0.052560665 405.69 449.26782 697.13715 872.3596 6 0.93757623 776.98047 283.21133 974.0521 616.17053 6 0.09273844 232.52861 491.6949 340.19348 561.7515 6 0.06839356 357.56042 498.38666 452.9248 596.8298 6 0.06359483 655.8595 451.37256 814.1886 630.60205 6 0.05628891 354.69638 495.4476 461.21506 694.1169 7 0.9994149 156.62494 505.27875 467.22144 971.57513 7 0.98883003 3.4917755 616.79083 179.67914 893.9705 7 0.9875101 405.37402 446.15845 698.4531 873.1826 7 0.9530776 7.0948944 362.64352 267.45074 645.9592 7 0.93654907 354.41962 124.74983 420.82928 222.7325 7 0.887101 525.5941 433.37305 706.49146 634.44653 7 0.82336724 688.90845 526.2529 795.0282 695.40063 7 0.48467132 354.73004 496.70044 460.77203 694.30835 7 0.3025555 360.42752 518.46405 404.34818 579.1579 7 0.21032736 230.95123 491.7321 335.914 561.4576 7 0.19503394 447.8833 438.81186 822.06506 654.5376 7 0.16999957 27.89853 497.68436 210.76964 631.9066 7 0.1363857 436.77008 474.1749 700.5745 687.6096 7 0.10353768 1.6287537 360.64127 262.98123 933.3876 7 0.07144317 161.25021 443.0086 737.3176 940.4089 7 0.051249072 697.0133 509.06723 812.801 615.89136 ,test/0008.jpg
0 0.95883995 282.2415 96.355286 669.0315 988.98895 0 0.12922677 302.24954 737.5502 626.4475 977.44995 1 0.5343439 287.25024 109.032745 671.0681 941.74255 2 0.074646264 289.7852 118.90112 673.81836 873.9494 ,test/0009.jpg
