PredictionString,image_id
0 0.33604425 493.97833 590.9201 555.6906 648.3929 0 0.27896816 474.76144 573.0245 562.8039 661.62164 0 0.09796912 215.81343 693.31067 248.03615 730.6981 0 0.08789082 497.39938 601.86035 608.6091 649.99316 0 0.074055426 323.86404 570.57947 382.03506 621.44617 1 0.9820125 546.37317 108.85658 765.77026 366.2995 1 0.42278835 163.01917 364.7106 245.21075 444.43478 1 0.32276908 245.78798 408.32904 283.1919 474.8214 1 0.25247622 427.4928 457.73172 560.1919 683.1113 1 0.18689276 640.3488 257.3228 736.01324 340.9013 1 0.14324242 607.8332 168.12308 756.1413 354.31223 1 0.05011416 493.97833 590.9201 555.6906 648.3929 2 0.12973107 327.7265 639.47955 352.51324 681.88885 4 0.05994955 338.07956 640.2816 397.70566 725.0654 5 0.97497344 339.79636 641.7974 396.41824 724.2773 5 0.9543708 244.89795 682.6379 300.9579 748.09784 5 0.669783 467.75888 551.5409 564.56537 682.7898 5 0.61672574 327.2469 678.75836 468.55768 742.8979 5 0.552438 506.88998 645.5036 556.0546 689.42413 5 0.26300365 386.99777 596.5511 472.74875 724.3995 5 0.24418913 322.29514 571.0388 382.14273 620.9238 5 0.2195376 392.73526 625.7431 417.51346 683.2576 5 0.2061003 487.0656 639.887 573.9454 690.7994 5 0.19606863 387.4972 683.06525 424.66028 720.966 5 0.16999452 323.1788 688.6276 389.77304 744.4266 5 0.15392531 327.43933 556.15186 450.36395 641.312 5 0.13242856 366.5004 553.9241 440.0587 623.1835 5 0.12693499 361.68323 571.70935 417.8853 679.29614 5 0.12626973 326.82864 554.81305 471.6025 737.58746 5 0.12080877 485.3598 579.6636 557.38824 654.27576 5 0.103125244 326.8806 639.29895 353.71826 681.53015 5 0.097260185 342.59106 689.5634 391.3825 723.3796 5 0.089384496 427.19934 455.05695 560.5382 688.63495 5 0.08880624 389.74896 610.93036 434.9925 688.1479 5 0.07811367 372.3636 682.16187 449.71338 728.78784 5 0.07270426 366.54175 548.56573 454.00134 682.9028 5 0.071180634 408.198 598.272 469.66583 682.9275 5 0.067487456 356.5483 594.60864 412.56125 653.4812 5 0.064637884 387.33218 629.43677 416.098 661.22925 5 0.055633917 370.10757 573.26447 411.27493 609.262 5 0.053555313 367.3146 552.88885 553.5561 685.0529 5 0.05157781 164.114 363.80054 242.92668 443.9159 6 0.36425143 427.45538 457.53986 560.17926 684.4991 6 0.056172516 244.771 682.65375 300.80304 748.24164 7 0.9996082 213.10123 54.934845 455.6157 481.10385 7 0.99948967 120.78631 410.17328 327.05823 718.2823 7 0.9992816 603.4705 515.3187 949.24005 1024.0 7 0.99903464 393.40945 195.99745 596.6824 549.1577 7 0.9978454 446.13074 596.52325 639.4264 871.11383 7 0.9951008 559.8862 322.8436 877.474 621.88074 7 0.9586324 557.09705 340.7133 708.1821 607.07983 7 0.93440753 265.1593 427.5028 432.35577 585.312 7 0.8205493 323.97696 570.4768 382.2579 621.3613 7 0.13305853 326.06616 552.87244 470.8213 737.45984 7 0.12261235 163.4729 364.90707 245.16629 444.40237 7 0.11108233 321.97882 558.15656 442.33954 623.40375 7 0.085837625 503.65283 642.0092 563.2634 693.356 7 0.08377681 466.40674 555.62555 567.4612 683.2336 7 0.077997796 55.701912 414.01233 176.64633 614.7965 7 0.06536416 482.09686 580.3848 558.44904 662.9122 7 0.057960045 389.91656 605.33093 465.66602 700.65845 7 0.05023578 474.87076 593.6802 604.4882 673.4529 ,test/0000.jpg
0 0.43559924 632.77075 645.2086 696.89453 850.5294 0 0.10979202 739.7416 653.5333 893.2101 995.7363 1 0.094037905 759.2367 663.91016 895.8229 991.854 1 0.075503096 342.35297 254.6231 759.28033 695.42267 2 0.51663536 342.24774 254.25288 759.71063 695.48846 3 0.22689289 343.5674 253.89621 759.05396 695.604 5 0.8435621 137.34361 0.0 499.01764 306.1267 5 0.76135594 344.54712 251.43628 759.31665 696.1953 5 0.051184908 345.00037 251.22812 509.3847 343.06863 6 0.4261381 742.277 654.03796 892.96423 992.37573 ,test/0001.jpg
0 0.48896882 877.17114 468.3636 1024.0 643.7204 0 0.23822598 1.06781 237.93823 137.79797 467.125 0 0.21071213 974.83887 233.86484 1023.38635 249.03204 0 0.2101739 324.09515 343.55368 1010.70807 504.76974 0 0.13903081 777.5163 430.24268 1024.0 1021.87573 0 0.112707004 675.4414 231.0811 764.7323 325.59735 0 0.09963678 342.5317 318.3903 1004.3883 380.64377 0 0.09451401 271.4482 281.54977 292.92892 362.84665 0 0.06851212 14.434784 276.0805 288.77478 450.4464 0 0.058540955 83.17734 286.21234 343.03394 603.47095 0 0.05250085 469.8459 515.6881 800.44794 662.4989 0 0.05002218 163.87888 298.3106 319.9603 424.50104 1 0.99039453 82.66011 286.57617 340.58234 603.9114 1 0.9848282 427.4009 266.44397 642.7439 328.1731 1 0.98247796 299.08258 324.24063 981.4478 743.4425 1 0.9710822 668.6351 225.25697 875.30414 327.0997 1 0.9551112 774.2977 418.05676 1024.0 1024.0 1 0.75468004 975.28467 231.4568 1023.5056 246.65431 1 0.62343717 339.303 315.38025 1010.1605 371.1596 1 0.60066265 1.3728104 238.69073 137.8201 467.07086 1 0.37320662 660.5332 286.41806 755.8795 323.70493 1 0.35405988 994.6915 305.34113 1024.0 394.64056 1 0.3124322 79.15515 282.95786 423.04355 478.2856 1 0.26025316 898.2222 230.75156 1021.41205 375.4512 1 0.25658596 352.60162 486.9283 819.3477 744.9254 1 0.16243084 673.7229 229.83391 772.5934 326.20364 1 0.12594995 381.02823 262.03613 1024.0 369.23828 1 0.10327501 871.1243 224.02554 1013.1508 660.3989 1 0.07207404 319.17255 324.43427 1016.5101 535.768 1 0.058801275 0.0 309.4596 155.06729 414.8128 1 0.05722272 5.0953064 241.61499 133.87233 359.34076 1 0.050864253 970.3823 227.62053 1023.3701 236.51024 4 0.99237967 869.019 244.56653 912.13995 325.03723 5 0.059079237 995.2279 305.21375 1024.0 395.6396 6 0.09064416 343.32852 318.87994 1007.05664 368.85693 6 0.084966645 324.09515 343.55368 1010.70807 504.76974 ,test/0002.jpg
0 0.052515984 77.1586 630.624 1024.0 1024.0 0 0.05170287 29.540314 89.45944 994.55725 848.8777 9 0.9935389 142.02246 260.23584 918.53455 819.57166 9 0.5210385 0.0 46.89099 179.88954 873.11127 9 0.3575615 0.0 14.386322 346.29285 903.46484 9 0.28611237 4.7721443 302.30295 128.0891 859.98706 9 0.11170797 0.0 0.0 1024.0 474.68365 ,test/0003.jpg
0 0.8730505 455.46002 409.25482 657.6337 534.41815 0 0.22812258 388.06912 397.24844 687.9922 576.75165 0 0.13691607 222.64453 390.7093 876.3618 761.46576 0 0.07198382 197.95898 255.55493 709.96136 690.72253 0 0.06518771 416.68134 261.57874 714.1849 586.1497 1 0.97759193 203.47644 290.59662 876.13367 766.8936 1 0.12956892 413.63495 408.82336 660.87225 571.37427 1 0.071393706 201.46915 393.98715 690.21277 645.6073 1 0.051275592 355.04105 360.19788 723.7921 586.1347 ,test/0004.jpg
1 0.054107215 353.23145 226.79053 780.8771 713.2236 2 0.9922213 354.2268 224.46495 779.78503 712.14307 ,test/0005.jpg
0 0.2887043 599.9117 0.0 705.7244 85.58616 0 0.21916294 0.096004486 809.4868 89.65993 941.782 0 0.072879165 193.56567 562.3997 343.0771 878.28046 4 0.8658815 359.899 449.68277 843.7939 725.4564 5 0.5823259 357.15613 450.6947 844.16455 725.6022 5 0.5788833 0.33657455 51.105644 68.54022 222.09222 7 0.95242727 266.94568 10.028664 411.82074 172.05115 7 0.67818147 0.38943863 51.390656 68.55368 221.86594 ,test/0006.jpg
0 0.5294053 113.89929 84.00226 995.18164 978.8731 0 0.14908321 142.09311 411.3944 978.26465 863.1398 0 0.10221452 680.4458 508.04303 898.4652 736.4577 0 0.10106941 274.72177 262.12167 958.0062 730.0095 0 0.07634338 886.13763 893.1786 1024.0 1024.0 0 0.06669111 30.202393 673.03784 966.39246 1024.0 0 0.06347037 243.55005 0.0 997.0751 272.9302 0 0.059773877 144.53734 155.13098 609.68097 826.3402 0 0.050378405 388.4594 360.338 1024.0 1024.0 1 0.86985576 887.07526 892.8259 1024.0 1024.0 1 0.19769146 108.32968 90.13025 989.19763 934.6166 1 0.16344233 129.11603 430.322 947.2176 861.0856 1 0.08606544 990.9353 935.25543 1023.4137 1021.5633 5 0.42362612 0.0 863.0824 23.475384 1021.59155 7 0.559459 0.0 863.1648 22.947235 1021.45557 7 0.1351936 886.9592 892.84784 1024.0 1024.0 7 0.06073529 112.20596 100.331116 981.5034 943.8703 9 0.8734933 285.7085 92.999176 967.9204 757.9398 9 0.37817228 543.25934 484.40057 902.5778 733.29144 ,test/0007.jpg
0 0.83989406 105.10716 904.6577 170.18306 972.2035 0 0.0842081 676.8924 532.0253 791.2845 696.12787 0 0.062922895 674.60925 439.54562 809.0437 643.2646 1 0.9963806 645.9955 638.10724 720.76953 757.2182 1 0.1986784 357.65485 498.21234 473.23663 685.87054 1 0.14703117 361.06656 497.47433 456.63553 602.4593 1 0.11621818 774.76715 280.8335 975.40924 618.4535 1 0.0994217 154.3153 581.613 195.6525 664.2059 1 0.07951533 385.10016 547.7474 416.6598 583.6733 1 0.07252171 361.68036 537.1856 426.21887 598.9808 1 0.05902577 373.033 545.7675 406.06723 589.602 1 0.051172264 670.80585 443.93207 811.3752 629.50775 2 0.31742126 154.34662 581.73267 195.69244 664.0553 3 0.18441711 669.90295 442.29556 810.9376 628.726 5 0.58567226 669.9407 442.12488 810.6498 628.6011 5 0.19787985 658.9725 447.24915 790.07465 478.19165 5 0.100840725 154.416 582.0011 195.6613 663.614 6 0.9793578 775.80066 277.0141 975.15173 617.224 7 0.999647 161.25708 511.79315 475.37067 961.27264 7 0.9991284 391.93826 465.28452 699.9774 874.25793 7 0.9990101 4.9224625 616.5744 181.29163 877.0611 7 0.9948573 2.3791351 359.7442 273.86127 648.3741 7 0.99350053 352.6003 124.214584 419.0928 222.51271 7 0.96789414 687.52325 532.6457 787.66315 693.48505 7 0.9169613 510.4568 444.82867 796.7733 692.0517 7 0.9055723 357.9849 497.32977 473.05154 691.6546 7 0.8706169 144.017 782.7735 171.56741 849.02155 7 0.68812877 224.17677 488.69583 333.0138 563.2371 7 0.5926424 360.69632 497.29456 462.4578 606.2095 7 0.35352364 673.01886 441.44104 810.8503 641.31384 7 0.29303724 539.3474 428.82217 704.8347 663.12213 7 0.18140028 105.173386 904.64404 170.17442 972.18005 7 0.18052617 155.7738 520.82623 309.74942 676.8669 7 0.11516106 396.77426 603.09845 447.5292 751.03107 7 0.08596637 361.93127 546.1162 397.57434 578.0443 7 0.08504426 204.82367 922.3874 330.78577 961.9554 ,test/0008.jpg
0 0.98596 284.1162 115.358185 664.41003 982.6378 1 0.06767621 283.1521 118.181946 662.60547 993.4976 ,test/0009.jpg
