PredictionString,image_id
0 0.3758401 457.1963 552.6016 568.43335 676.9106 0 0.13005562 474.85565 587.62396 567.10284 653.5086 0 0.10445157 510.32153 645.2272 553.167 688.4619 0 0.100316726 435.51297 466.8606 570.51105 683.21375 0 0.09749839 214.27838 691.63745 250.655 730.98267 0 0.074315466 468.23087 558.2945 558.8237 603.6419 1 0.99118876 558.3071 106.116486 778.9922 369.07632 1 0.42852366 246.41406 682.90955 300.52435 749.4447 1 0.32633883 637.15625 256.22354 738.20496 344.34555 1 0.277231 591.1511 163.16658 746.33777 348.4402 1 0.22175714 432.84464 457.1576 573.0309 688.50305 1 0.079240456 246.44513 407.375 283.06018 478.0763 1 0.07506736 165.18831 361.0119 249.17772 453.4038 1 0.06330027 466.52353 558.5307 568.3507 664.2597 1 0.059412673 670.76984 178.16336 740.04083 313.34756 2 0.17596072 328.70807 639.80725 350.72015 682.8142 4 0.05343094 339.80798 640.843 397.0279 716.9308 5 0.9726043 340.08817 640.4786 397.0787 721.43097 5 0.9071053 322.2909 568.90454 382.40125 621.48096 5 0.60184354 385.23865 683.284 424.12732 721.7581 5 0.48384064 343.37817 680.4616 455.51587 730.2326 5 0.41301122 246.41977 682.978 300.58804 749.4442 5 0.29311782 366.38162 550.13525 446.46695 686.0742 5 0.17434044 319.46378 561.4655 423.35873 679.90826 5 0.17189413 508.85223 646.25336 552.4068 689.8405 5 0.16456501 394.0992 626.51306 414.48862 681.391 5 0.1599242 391.63266 607.3454 452.64072 685.7032 5 0.15722318 333.7612 554.16003 457.1108 736.7495 5 0.14545584 368.89563 572.3066 417.97064 677.7801 5 0.11521766 363.46555 599.796 410.0981 640.6 5 0.10331516 418.9945 612.4352 450.7069 679.2897 5 0.09587709 378.3279 568.6022 413.54092 606.74243 5 0.08696489 328.16345 639.69446 351.4049 683.01575 5 0.07580989 368.85257 557.24817 440.41763 622.71375 5 0.06677459 434.4511 482.49573 572.1529 681.7948 5 0.06104926 466.52353 558.5307 568.3507 664.2597 5 0.060529374 411.1544 612.71674 438.69974 684.78424 5 0.06037359 507.64612 651.20917 534.4176 694.14984 5 0.05965397 428.53235 585.8938 487.42224 670.6356 5 0.056299914 446.02444 595.3169 480.16177 677.00586 5 0.05447324 401.0891 613.17523 418.61462 683.67303 5 0.05345758 412.39984 552.4061 473.55676 684.1793 5 0.050055835 485.70273 637.8382 565.6554 687.40594 6 0.5646914 433.15765 459.1701 566.9529 687.8249 6 0.25747672 246.36174 682.95087 300.5338 749.45905 7 0.9996941 217.86948 49.145615 454.4377 475.664 7 0.99932194 124.04486 414.15662 324.66168 715.58105 7 0.9990847 391.96484 199.99078 598.2303 541.99445 7 0.9989397 446.41238 600.98364 642.6777 875.3506 7 0.9985154 601.4403 511.57507 954.58386 1024.0 7 0.9975994 545.25616 332.98083 887.1917 613.0211 7 0.98227465 552.81683 342.36566 711.717 602.37744 7 0.9745534 263.47925 432.5046 433.73932 582.1884 7 0.15523568 322.47836 568.88763 381.89798 621.3276 7 0.14950335 470.01587 557.2712 564.40295 661.8687 7 0.1179034 541.2878 188.08661 574.05963 240.32727 7 0.060363173 171.65771 426.4661 211.7008 446.72464 7 0.051641457 545.66223 603.6692 600.32324 643.8744 7 0.05050307 319.46378 561.4655 423.35873 679.90826 ,test/0000.jpg
0 0.5869583 765.20026 659.8591 901.6597 994.57684 1 0.058589067 763.4927 660.02563 899.5758 996.13745 3 0.325135 340.82172 250.47316 753.95404 699.283 3 0.07635726 128.55612 0.0 504.88205 275.67767 4 0.07018195 340.8402 251.67233 753.6195 698.3379 5 0.82516944 128.6046 0.0 505.6847 275.31842 5 0.79411805 340.34558 252.14182 753.42346 698.4308 6 0.40065604 765.22656 659.91174 901.4968 995.1404 ,test/0001.jpg
0 0.70993936 777.88947 417.8633 1022.1717 1024.0 0 0.5715554 875.5352 469.9342 1021.9068 638.32837 0 0.17516862 311.27173 335.51505 1000.99036 377.04813 0 0.15727064 107.17485 306.151 293.29126 599.27966 0 0.14410618 77.91498 277.26273 432.15567 602.6725 0 0.08410429 3.6318588 244.22308 135.56268 344.41394 0 0.07663355 657.3912 287.80865 740.26544 325.79346 0 0.07656818 350.06287 332.22836 1018.6239 449.86105 0 0.07193229 0.0 271.92126 343.51593 444.4297 0 0.057334602 875.7208 484.88068 960.478 669.8663 1 0.9857949 298.14542 317.6661 1014.3069 747.1111 1 0.9827911 77.377655 277.70667 431.86554 605.0029 1 0.93789583 422.29404 267.39005 639.66785 327.72043 1 0.7901668 670.0529 229.26492 896.1977 326.69363 1 0.759926 665.37964 229.17078 1021.3634 359.81158 1 0.5842273 777.0395 413.95505 1021.2126 1024.0 1 0.48431006 327.8997 497.02975 814.9905 741.68097 1 0.4724886 657.3912 287.80865 740.26544 325.79346 1 0.2886774 297.8654 313.44415 1024.0 379.04907 1 0.10641967 3.1018295 238.6575 140.46536 348.34177 1 0.095878504 0.0 246.61914 133.34258 486.2751 1 0.08905983 383.62653 245.53293 1024.0 395.40903 1 0.085583314 993.40344 304.7507 1023.80273 395.76566 1 0.083681606 847.1889 230.18736 1016.9129 372.16803 2 0.14469905 658.11487 287.66214 738.3999 325.9141 3 0.21372768 0.0 265.7265 130.32884 480.41162 4 0.64882916 866.60114 244.96358 915.29987 327.34198 5 0.13467431 993.41956 303.77942 1023.6753 395.86725 5 0.06450494 268.58337 279.6635 291.0338 345.21045 ,test/0002.jpg
9 0.9881207 146.90143 244.06982 913.85846 826.21533 9 0.0728279 0.0 0.0 1024.0 597.95514 ,test/0003.jpg
0 0.6417917 418.03986 404.91534 660.91095 583.36725 0 0.46024355 200.04517 264.70303 868.2467 779.58875 0 0.20788701 274.16635 275.21155 690.64343 670.8077 0 0.06549304 381.04507 423.01538 748.8751 645.49524 1 0.84171 200.31729 267.9163 871.9818 785.58655 1 0.17847426 419.8388 405.33337 660.2254 584.0426 1 0.072019964 381.04507 423.01538 748.8751 645.49524 1 0.053490065 347.31763 302.07764 673.04205 626.6758 7 0.120887876 214.89087 277.3251 873.14844 790.532 7 0.079833485 412.2983 407.10162 673.5029 593.4575 9 0.12668659 421.46353 404.27325 660.91656 583.7291 ,test/0004.jpg
1 0.12476089 345.95816 225.86073 782.4148 712.5805 2 0.9914807 344.77112 224.7746 783.4398 713.7372 ,test/0005.jpg
0 0.3596998 193.4642 625.4136 330.94675 876.22363 0 0.14548315 298.69055 653.6736 375.09686 747.9298 0 0.1260238 28.504417 267.9155 272.2688 866.9015 0 0.11178851 898.3091 789.5109 1023.97925 917.34125 0 0.102665566 67.84043 386.42285 247.0344 792.45996 0 0.061159644 174.1984 391.839 295.06406 870.906 4 0.9807869 428.9543 12.386948 650.256 270.47345 4 0.5041547 365.57346 452.20825 840.83325 721.6631 5 0.93906105 0.2619667 59.732857 71.29584 223.13211 5 0.70599586 365.56516 451.44388 841.208 721.775 5 0.15166111 232.05533 369.90167 438.38974 745.00836 7 0.9752078 259.97034 4.622345 412.45825 171.64772 7 0.43899584 227.86725 368.25635 436.33893 746.15295 7 0.21108939 0.22908783 59.50547 71.045876 222.74579 9 0.36370313 69.12288 388.3236 251.88612 792.5603 9 0.116437286 193.1847 624.5294 330.95306 876.5416 9 0.06934187 192.74359 542.84076 281.99753 752.59576 9 0.06663173 174.1984 391.839 295.06406 870.906 ,test/0006.jpg
0 0.58336467 0.0 545.08453 299.12613 1022.6463 0 0.5272618 111.72064 82.82736 985.8591 938.85645 0 0.17852187 253.66013 0.0 1019.6926 306.34503 0 0.106078245 358.20865 336.12723 996.60205 1024.0 0 0.07456068 181.77469 708.7265 1011.8496 1022.4893 0 0.058095705 0.0 148.58374 319.37445 1007.5503 1 0.38803318 360.13516 894.3172 528.3932 1023.94244 1 0.3612073 890.00446 894.332 1023.2182 1024.0 1 0.23944631 114.489075 92.97397 983.82806 918.91003 1 0.1169673 256.2406 456.64783 962.8292 945.1653 5 0.25957727 0.0 863.6184 23.880867 1024.0 7 0.55922127 889.7466 894.1556 1023.1885 1024.0 7 0.076406986 0.0 862.30347 24.12238 1023.6671 9 0.91661775 305.09644 121.99576 960.1438 756.0016 9 0.08980234 0.0 547.4787 299.1327 1024.0 9 0.063012466 652.8281 120.53352 971.38745 578.5893 ,test/0007.jpg
0 0.8726289 105.6107 905.327 169.0942 971.82117 0 0.091795556 665.1139 458.80545 812.25085 621.31726 1 0.99743193 645.32465 635.9386 721.6912 759.70496 1 0.460499 667.8173 458.6332 802.86163 522.0807 1 0.34414056 154.70375 578.09595 195.34944 661.92773 1 0.31982377 359.62164 497.20145 462.59613 605.62695 1 0.18225591 664.2645 456.47223 812.4254 621.4305 1 0.15162282 105.463715 905.444 168.97748 971.8917 1 0.13994998 774.0958 275.19055 977.3085 615.8667 1 0.115988374 361.1091 503.4273 408.05972 580.13715 1 0.10330182 362.52887 534.0681 399.97284 579.8793 1 0.07995454 658.4892 447.72427 788.72235 477.4885 1 0.053564 358.9125 0.0 415.44284 90.8902 2 0.42161262 154.86058 577.96185 195.30528 661.9373 2 0.07269526 359.62164 497.20145 462.59613 605.62695 2 0.055582847 668.979 454.4256 802.58325 524.5388 3 0.12635621 664.4204 456.5105 811.7605 621.8407 3 0.060247287 659.4016 448.0848 789.2748 477.92014 5 0.24121231 664.09686 455.85797 811.4212 621.2265 5 0.22589816 659.4016 448.0848 789.2748 477.92014 5 0.064296976 668.979 454.4256 802.58325 524.5388 6 0.95810306 773.62665 276.23077 977.5743 616.07135 7 0.99980146 161.55846 505.46246 477.38422 961.0799 7 0.9995962 3.4624557 620.4412 182.12119 878.8045 7 0.99880767 399.01154 466.89337 688.75604 872.6845 7 0.99490595 4.5377045 361.86243 275.0003 635.6786 7 0.9849435 690.1613 535.6665 787.9167 693.6328 7 0.98437446 350.54694 123.98556 419.19623 220.65378 7 0.8211585 357.59015 497.7903 465.28064 719.3446 7 0.79549116 531.6202 425.03214 701.55426 637.59485 7 0.62664294 664.6543 456.69644 812.39734 622.0304 7 0.33298507 359.64728 497.58386 462.80334 605.5049 7 0.3022342 144.52167 790.8995 172.53024 846.9782 7 0.27946657 232.92715 490.22278 333.99905 565.65955 7 0.22713193 396.44965 598.4352 446.7243 722.0532 7 0.07685477 105.67061 905.2021 168.96935 971.88495 7 0.06629734 1.2507935 516.03265 43.772274 683.88873 7 0.053558175 1.9130402 412.03473 275.81915 902.30646 ,test/0008.jpg
0 0.99577373 288.19406 106.32123 664.33105 977.707 1 0.055840034 288.9749 109.51514 663.92114 979.57983 ,test/0009.jpg
