PredictionString,image_id
0 0.22271027 214.96776 693.98346 251.93855 730.4434 0 0.08024196 57.02606 458.69058 161.06064 621.97864 0 0.06913857 477.51245 583.917 566.1677 662.7814 1 0.9917162 558.86273 106.1438 772.35895 367.41974 1 0.4328233 609.6424 152.37782 749.1934 350.08093 1 0.38313407 636.1326 256.28998 731.6508 338.90875 1 0.2959997 165.02142 364.46423 247.67163 446.4104 1 0.17063336 426.1881 463.48703 565.1641 681.15576 1 0.14409266 665.9566 259.48782 727.48346 323.51114 1 0.12604538 727.9169 136.43503 763.47534 310.0198 1 0.11802567 632.4791 184.02194 694.8341 331.21793 1 0.10750835 638.7677 185.142 734.6062 279.03375 1 0.10603385 699.33954 310.96216 783.6977 372.60248 1 0.098938756 463.0618 558.2726 559.7641 594.88696 1 0.09883829 472.7791 578.73474 564.22894 662.448 1 0.09537631 245.81967 407.06833 287.50388 476.65634 1 0.054927874 644.1225 185.4237 696.62067 255.59695 1 0.052929938 685.1648 125.705986 764.40784 328.5969 5 0.94321656 245.61664 682.29846 300.74896 748.0829 5 0.9265728 334.38412 638.6112 394.46823 724.41113 5 0.61580336 328.27185 558.1143 471.25763 740.27594 5 0.44051662 466.55948 555.5157 564.2612 681.6983 5 0.4113799 329.91962 639.64685 351.594 681.8158 5 0.40686518 321.71695 569.4647 382.1956 622.60547 5 0.36966592 429.56226 500.50555 566.8983 677.80145 5 0.17359139 379.33475 672.4687 461.53116 733.9228 5 0.15745376 387.23322 682.65424 432.11615 725.19025 5 0.13489734 389.25937 608.892 449.67984 694.65533 5 0.12224328 480.33014 594.9978 580.0905 663.2041 5 0.12204646 340.45923 640.8424 472.63635 739.005 5 0.109551735 366.4471 560.60046 452.00473 695.81006 5 0.10466873 461.6497 558.46295 559.99536 595.5892 5 0.10173317 505.2578 644.94183 549.59314 694.0336 5 0.08543374 321.91815 639.5388 389.08813 686.59863 5 0.08314315 397.53754 642.12134 445.497 686.4772 5 0.07606053 385.50165 617.25275 460.99005 736.56635 5 0.07022575 360.39975 592.91425 429.3403 685.4443 5 0.06554209 321.3983 683.2232 371.5156 745.41656 5 0.064835586 312.83954 558.00604 444.11237 625.93805 5 0.063382745 468.51343 573.1411 556.2899 590.92224 5 0.05637315 354.74338 595.5423 422.32272 648.99274 5 0.055866778 468.3068 584.02954 559.18787 600.55566 5 0.053702362 326.54633 571.06006 397.06274 733.0167 6 0.083382316 223.55272 682.7009 302.02954 748.3345 7 0.9991866 603.4773 519.61884 954.15674 1020.8482 7 0.9990721 215.16953 57.69626 456.28586 477.07425 7 0.99711096 446.94498 598.9059 643.1236 874.3993 7 0.99685234 120.966 411.78986 328.31845 715.1268 7 0.99452823 393.00333 199.02692 601.8265 550.2591 7 0.9932019 560.8213 328.8652 887.05994 622.29724 7 0.97443444 553.541 343.91626 710.0148 607.1297 7 0.86283946 262.7424 424.01343 430.5942 592.87006 7 0.6447309 57.07005 458.43097 160.94249 621.93353 7 0.21792893 321.61542 569.4874 382.19934 622.6 7 0.14611414 98.09683 405.358 584.7938 712.62805 7 0.08062249 120.9423 422.31912 188.62695 504.04068 7 0.07476028 471.52307 596.3809 600.24854 670.5667 7 0.058824193 426.20068 461.98877 567.61365 683.36804 7 0.05479635 469.1091 556.2147 563.6287 681.15247 ,test/0000.jpg
0 0.3622637 766.7194 663.60834 897.5063 993.38654 0 0.0872705 136.65866 3.2748413 499.84903 271.64304 3 0.11299142 347.14575 249.51756 752.31213 697.40735 3 0.08140513 136.24857 3.2561493 499.58798 271.393 5 0.9652035 346.5967 251.03566 753.4741 698.2428 5 0.84132504 136.18594 3.222992 499.79666 271.758 6 0.72997105 766.79376 662.93555 897.45404 993.8384 7 0.1451261 136.25069 3.121048 499.59674 272.193 ,test/0001.jpg
0 0.3257655 278.63348 315.51987 306.1781 426.8945 0 0.27782172 877.3904 468.0575 1021.615 654.59314 0 0.17083041 775.4104 428.20963 1024.0 1023.85645 0 0.13693495 0.64974976 231.24387 158.55786 479.1863 0 0.1312603 323.15088 326.73395 1008.7434 371.8443 0 0.09952223 149.835 289.30338 194.0595 406.97678 0 0.07157733 661.4792 227.43158 888.99603 324.7481 0 0.05920211 866.66187 244.14307 913.6846 324.55426 0 0.057531048 770.3859 536.9838 808.7105 576.1042 0 0.057489116 469.67218 509.69495 798.06024 658.515 0 0.05298853 651.22 288.7226 746.7656 325.17346 1 0.9852078 422.391 267.83188 639.5598 325.40042 1 0.97639185 70.213486 274.30258 428.42572 600.5918 1 0.9648917 293.55072 329.85052 998.19037 742.0079 1 0.92817736 669.6204 226.09937 874.66644 327.73798 1 0.8845707 774.6659 427.77744 1024.0 1023.0198 1 0.72920865 0.61507416 231.14023 158.5698 479.7841 1 0.51336163 353.68835 472.3357 810.36926 741.7207 1 0.44994822 646.8542 288.6109 754.52167 324.90955 1 0.3317512 864.27985 234.13849 1024.0 369.95312 1 0.28939494 472.13745 509.78864 794.2074 660.94147 1 0.22412583 322.044 321.31744 1022.2812 370.71008 1 0.17079833 993.3617 302.0431 1023.9435 398.03265 1 0.13085234 711.6015 231.05695 1024.0 368.74487 1 0.12705195 270.8839 274.56 421.28107 419.22363 1 0.12490992 24.698624 276.23053 426.24158 422.98474 1 0.11393116 670.4137 232.01009 777.1543 326.37323 1 0.10690829 82.59932 358.51227 325.12177 586.96857 1 0.07853605 975.35974 232.6899 1023.91797 247.40675 1 0.057778884 770.42377 537.73755 808.71014 576.1559 1 0.052426983 291.12402 242.12375 1024.0 379.2828 2 0.10268501 650.8063 288.5987 751.53796 325.00256 2 0.09598676 669.1003 233.28586 768.4632 325.88345 3 0.07311911 866.66187 244.14307 913.6846 324.55426 4 0.7656287 866.44604 244.41826 913.8097 324.49878 5 0.21530083 866.5008 244.74954 913.7553 324.2905 5 0.20667754 877.3403 467.93204 1021.70123 654.3247 6 0.052165184 302.59705 327.12228 1017.27637 496.40182 ,test/0002.jpg
0 0.06930344 22.28415 5.86322 998.3373 858.88043 9 0.97932625 162.32697 266.8683 906.14594 821.4984 9 0.5867246 22.28415 5.86322 998.3373 858.88043 9 0.17697304 0.0 589.502 1024.0 1024.0 9 0.07739708 6.080139 23.399414 143.03827 891.8492 9 0.07279951 12.112595 11.098999 293.044 926.9821 9 0.05166536 589.6435 10.193115 1006.6945 1024.0 ,test/0003.jpg
0 0.90159106 429.04877 408.7941 664.20856 572.3794 0 0.32574028 192.61243 263.55115 867.6465 779.8624 0 0.10535287 399.69217 290.52734 712.2815 583.7975 1 0.73630255 193.24149 264.5864 867.5237 779.5276 1 0.050205704 429.39478 396.43967 710.5355 572.7383 7 0.15943864 194.16089 270.64093 867.21094 779.10187 ,test/0004.jpg
0 0.076640196 351.37177 223.46326 777.6182 716.5218 1 0.17577918 354.58716 225.75937 681.001 715.782 2 0.9598147 351.2675 224.41411 777.329 716.3244 ,test/0005.jpg
0 0.7166728 600.8627 0.0 706.3331 84.94946 0 0.6120724 1.6122742 808.4466 90.52967 940.48114 0 0.53632104 189.57555 549.5808 277.62927 707.4785 0 0.49412385 897.92755 788.31134 1024.0 915.63165 0 0.47554237 190.31017 552.6461 328.2149 880.3213 0 0.25139037 297.7076 631.2755 374.65616 747.10547 0 0.06552596 268.62958 8.6653595 409.15576 171.51387 1 0.08887623 297.50818 630.93115 374.64014 747.17175 1 0.051060162 897.997 788.3084 1023.9328 915.691 4 0.18751287 432.5015 20.842216 699.1948 275.3082 4 0.10567954 365.04175 451.98108 841.32336 721.302 5 0.9416378 364.76892 452.06165 841.6072 720.9404 5 0.8027214 0.33914185 57.367462 71.55899 223.43762 5 0.15975341 189.70308 602.4465 327.7005 876.93756 5 0.08573455 432.8202 19.458878 704.4442 275.18182 6 0.08050332 600.9601 0.0 706.05493 84.93661 7 0.90419513 268.69302 9.075928 409.15628 171.39929 7 0.3116582 0.48696518 57.349594 71.35855 223.57933 7 0.20310776 897.92755 788.31134 1024.0 915.63165 7 0.09734954 190.31017 552.6461 328.2149 880.3213 9 0.3298753 1.7017212 808.05707 90.6216 940.8874 9 0.06361246 600.89056 0.0 706.30695 84.9585 9 0.055564977 189.65633 549.88934 278.10718 708.5362 ,test/0006.jpg
0 0.4652099 558.4644 482.4225 895.99664 741.18066 0 0.40167114 107.662964 82.901245 989.9143 939.92316 0 0.36902177 731.9369 111.568344 766.36426 160.13078 0 0.28369093 0.0 551.07574 321.12592 1024.0 0 0.16453746 346.62302 55.433807 1005.43896 674.12476 0 0.09201127 442.7444 898.4284 602.90454 1020.81085 0 0.08162562 382.2635 0.0 990.6108 390.3286 0 0.075648524 312.77643 150.25891 659.9921 719.69604 0 0.07307927 702.49445 108.44589 774.58344 160.23001 0 0.0660132 661.4466 120.11665 996.01495 573.8567 0 0.052847043 0.0 862.445 23.900185 1023.11017 1 0.8205873 884.2008 897.54144 1024.0 1023.07587 1 0.68839025 990.72644 933.7597 1023.4059 1022.795 1 0.2869091 94.52817 75.88641 989.9464 1005.0649 1 0.19506519 445.97906 902.53577 602.45026 1021.90283 1 0.15534517 435.54074 959.92065 520.8319 1023.2971 1 0.08866588 0.0 548.7694 332.70392 1024.0 1 0.06640992 351.11823 893.7432 515.7391 1023.597 1 0.05251929 0.0 527.03674 721.1593 1024.0 5 0.37762856 0.0 862.73035 24.856865 1022.87866 7 0.4424421 0.0 862.1062 24.561455 1023.06555 9 0.66835904 225.32538 101.44211 980.2952 735.0171 9 0.52264404 558.42957 482.39536 895.7335 741.2915 9 0.1667528 527.3884 97.316895 984.5853 600.98175 9 0.16268548 0.0 551.39575 320.6511 1024.0 ,test/0007.jpg
0 0.57867986 105.86049 905.82574 170.10262 972.6149 0 0.07177267 356.18784 2.7892342 416.54672 87.973694 0 0.05869602 359.1582 497.6915 463.64954 608.3178 0 0.05204215 0.7047577 0.0 315.9973 256.80984 1 0.9772085 644.6026 639.817 721.5163 759.12695 1 0.5561019 359.69778 497.44147 463.13394 610.5473 1 0.38439357 106.07381 905.84436 170.0017 972.6565 1 0.15354143 153.18176 579.49054 196.5979 665.2861 1 0.095296405 356.06558 2.8991508 416.81308 88.49028 1 0.088370115 0.7354584 0.0 316.05505 256.52917 1 0.07519443 667.83325 454.78043 809.15686 619.2359 2 0.06972976 153.18176 579.49054 196.5979 665.2861 3 0.08230302 153.28078 579.4035 196.65807 665.5538 5 0.28499478 775.4198 276.66016 978.87976 617.91974 5 0.21149385 664.546 448.2434 809.34607 622.8264 5 0.1920239 536.95526 428.17133 702.9543 621.8957 5 0.10040325 153.28078 579.4035 196.65807 665.5538 5 0.0956424 254.15517 566.01697 308.11603 682.0038 6 0.86769366 775.4925 276.83813 978.82697 617.59283 7 0.9947001 164.61472 510.93054 471.22665 961.2235 7 0.99180037 395.5158 464.24573 691.49506 874.2119 7 0.990668 686.3764 536.4066 789.80743 693.94763 7 0.98864377 351.70685 125.010956 419.9489 222.90384 7 0.97594845 4.065071 618.8315 180.52829 883.22784 7 0.9679465 1.7452393 361.6918 270.01233 657.6575 7 0.8295019 536.6155 428.23575 703.18713 623.9639 7 0.7418441 664.90894 448.10922 809.412 623.396 7 0.6074037 225.46869 490.06903 334.93518 566.5893 7 0.58533907 355.7919 497.9883 464.2659 666.894 7 0.27777544 0.0 349.49622 275.1637 941.76904 7 0.19514135 150.29538 515.3924 318.63873 672.6047 7 0.07207353 516.30225 441.45667 769.94824 678.8522 7 0.069918975 143.97649 791.793 173.9933 846.592 7 0.065533035 106.33529 905.53125 169.84183 972.7046 7 0.057306085 153.11748 578.8652 197.46095 665.5684 7 0.056699876 393.07587 595.1212 450.9203 709.04126 7 0.05224814 344.1875 494.3661 472.34808 819.2876 ,test/0008.jpg
0 0.9897858 277.90594 115.10654 666.8022 979.2324 1 0.05863389 276.93076 112.30673 667.068 984.05725 ,test/0009.jpg
