PredictionString,image_id
7 0.9949851 216.30627 58.95082 458.2666 470.6631 7 0.9906274 604.97546 527.8542 945.2245 1013.00214 7 0.9867142 548.79913 348.286 704.66486 604.16766 7 0.9703821 116.982956 437.5838 327.55194 707.20526 7 0.9650352 655.3108 334.90894 883.5143 619.84875 7 0.9619674 446.29575 608.8977 643.2083 867.09033 1 0.95290583 566.0601 112.113205 746.0444 356.5 7 0.95287985 392.55603 200.2024 600.61926 525.3161 7 0.9316763 256.2609 425.39307 429.02933 602.1216 5 0.7866728 245.52739 679.71155 298.69458 748.0217 2 0.5556015 342.13718 642.84705 396.31137 709.13464 7 0.5551447 338.53372 561.406 454.79587 697.0062 5 0.48456925 341.66907 646.1633 397.2386 722.0675 3 0.4842843 321.32767 640.46405 352.9064 685.53436 7 0.47410253 432.2533 417.2556 598.2832 726.31445 5 0.4617538 388.5537 681.79816 423.1065 722.74835 5 0.41914043 375.1358 604.4769 455.62402 720.7523 5 0.36825103 485.46796 593.55646 561.5307 644.1059 7 0.3526455 408.8547 297.28235 582.7946 647.23486 6 0.33458635 426.3813 449.31427 583.4071 685.11115 7 0.33409977 375.60767 592.5243 455.5802 711.14246 7 0.3291617 352.90668 551.98804 438.20142 642.2394 5 0.31785923 427.3855 444.63477 577.94476 688.7406 2 0.31367797 244.5511 678.6263 299.1504 748.6103 7 0.28901756 160.3361 316.56503 260.96893 447.20132 ,test/0000.jpg
6 0.86491543 763.28906 659.7035 896.49243 980.348 2 0.74372303 351.65878 262.25885 762.6538 697.9006 5 0.2531712 351.51166 260.57306 766.1503 693.4427 3 0.24279152 353.55286 268.19424 775.4989 699.6533 6 0.19948742 764.4118 668.91876 859.7968 781.35614 3 0.13291712 135.8013 1.5283508 490.9166 263.59042 ,test/0001.jpg
1 0.9508293 279.78094 292.93982 997.90204 748.63904 1 0.94311637 769.18744 428.99765 1025.4557 1018.7328 1 0.8436042 76.9586 287.45782 395.5974 589.90796 1 0.6901808 956.7584 231.05017 1025.4122 335.21686 1 0.57870764 977.48083 230.50656 1026.0962 251.28561 1 0.56982845 926.37396 226.43735 1024.6271 381.6259 5 0.55465955 0.9079437 245.94818 139.8761 466.41193 1 0.54716825 413.617 264.495 643.7786 331.33954 6 0.52019393 -1.0627823 244.9822 145.09082 461.26044 2 0.44994244 -1.314949 246.05605 145.24756 461.9544 3 0.3281293 865.9055 244.7398 915.7964 324.81958 1 0.32349193 667.325 227.62428 911.3016 327.89258 5 0.2903735 746.17737 231.64244 913.0033 331.2555 5 0.2812252 865.9055 244.7398 915.7964 324.81958 2 0.23889308 75.88217 288.37085 396.47095 590.4531 2 0.22857451 746.17737 231.64244 913.0033 331.2555 1 0.2261624 -1.0627823 244.9822 145.09082 461.26044 1 0.22229138 994.96375 320.78665 1024.7057 399.77463 3 0.19855843 746.17737 231.64244 913.0033 331.2555 7 0.18135433 778.3856 400.9583 1025.1831 1024.9451 5 0.14472781 77.518906 282.03394 388.44257 596.69775 7 0.14267652 746.17737 231.64244 913.0033 331.2555 1 0.14179146 978.93805 315.77234 1020.263 391.60126 2 0.13263284 424.42715 264.87503 642.8823 330.0966 7 0.120873846 424.42715 264.87503 642.8823 330.0966 ,test/0002.jpg
9 0.74586344 -10.739349 163.18677 1002.052 889.28394 9 0.13977167 87.01752 779.80554 1061.6458 1047.6244 ,test/0003.jpg
1 0.9154699 198.22614 282.70044 868.5993 767.5503 7 0.13518822 193.19641 291.2506 868.3716 762.7272 ,test/0004.jpg
2 0.9703573 357.00195 229.9291 777.0106 702.122 ,test/0005.jpg
4 0.9181151 357.01477 456.8477 837.8644 732.9927 4 0.5253816 418.92374 13.678703 699.15356 267.7663 7 0.19813646 1.1190758 42.95751 68.14998 218.0163 5 0.1866292 364.4004 457.61835 844.88586 732.5795 4 0.17121342 1.5742722 49.62773 67.13019 219.94368 3 0.14986916 361.2624 452.29938 835.72955 728.1911 9 0.119752035 -1.4197884 53.629402 66.48959 218.83627 5 0.116367 1.5742722 49.62773 67.13019 219.94368 ,test/0006.jpg
9 0.81324583 82.73129 118.592896 1037.1132 902.6618 1 0.81181896 210.47098 896.3358 560.88464 1026.2668 1 0.43102914 388.61566 908.77765 595.77216 1024.4446 1 0.320606 883.24457 902.72815 1026.0815 1022.70435 7 0.18923368 204.2833 902.4585 585.7709 1027.8782 7 0.18605825 883.17096 900.95496 1023.247 1026.808 9 0.14121585 264.27924 413.92636 1038.8462 995.4457 9 0.12953043 276.50684 2.1534424 1024.638 236.86087 7 0.12652943 355.0393 640.74817 1026.574 1022.1781 ,test/0007.jpg
7 0.99451387 11.723618 357.9209 278.04785 615.6718 7 0.9919544 150.74115 527.6878 473.9975 954.6181 7 0.986262 1.9792023 616.65814 181.0463 872.5529 7 0.97484916 387.34012 467.35095 688.7538 863.8988 1 0.95822257 103.4173 906.2197 167.67694 969.2302 6 0.9057093 772.7801 290.40894 974.6562 612.3763 1 0.8773991 640.53644 635.1002 725.66425 760.4741 7 0.8762314 354.57043 120.13298 431.54858 231.95952 7 0.8246695 536.5522 428.347 707.008 624.055 7 0.80891657 683.8684 531.34424 801.75574 697.745 1 0.77891845 350.06543 496.47687 467.0708 677.64374 7 0.51531637 351.31906 498.66498 466.0303 678.8282 7 0.50700104 357.38297 1.4789963 441.43094 99.56839 5 0.353199 685.11456 531.9386 800.9661 699.6769 6 0.31375417 601.2063 343.6078 747.51074 483.8072 6 0.30181766 638.56976 433.8504 794.41925 520.5407 1 0.26872268 537.70483 426.37958 709.11487 628.77655 5 0.2591723 542.9511 428.6891 706.8929 630.5613 9 0.25002134 542.9511 428.6891 706.8929 630.5613 7 0.24077365 484.43124 439.0191 695.17395 753.5378 1 0.22504224 699.6711 501.58325 808.95636 610.46094 6 0.21858348 542.9511 428.6891 706.8929 630.5613 7 0.21649916 694.2251 495.9528 812.8893 640.7252 1 0.17661284 688.8381 512.18384 803.81903 703.95215 7 0.15522386 251.68622 493.73303 566.14026 909.3839 ,test/0008.jpg
,test/0009.jpg
