PredictionString,image_id
0 0.44102043 483.22964 597.8236 580.88 657.4938 0 0.34195697 481.3664 611.15936 505.99884 659.5972 0 0.24311274 419.4514 613.75024 450.78238 676.22534 0 0.09139047 215.67422 694.2929 252.18604 734.0163 1 0.9924665 560.9998 105.4324 761.7625 351.64728 1 0.39370114 659.99414 257.9149 730.99036 323.24216 1 0.26683533 158.69751 426.85098 202.32086 446.18698 1 0.10608739 580.8904 152.95728 688.9973 357.22797 1 0.10038927 650.5032 190.54405 688.0071 239.4228 1 0.08680325 428.69287 453.8507 564.8634 693.74915 1 0.083305664 242.02406 405.13284 319.28607 469.8381 1 0.08057522 545.6557 108.0535 771.7056 601.45715 1 0.07299123 717.98584 308.92975 781.1532 372.51782 1 0.062424473 243.62622 682.51196 302.45996 749.07275 1 0.061743204 166.79926 419.07504 214.5246 437.60526 4 0.1220598 331.52057 633.9416 397.7818 722.77765 5 0.9590489 244.32169 681.77844 301.59457 748.9231 5 0.9345781 332.54065 633.2901 398.6269 721.76447 5 0.83484936 387.7749 681.5641 425.71625 720.34204 5 0.7118301 396.0924 644.0588 445.68848 688.9633 5 0.4947166 328.59134 640.89825 351.78018 683.00555 5 0.43817034 387.33664 644.35406 447.57315 723.06964 5 0.4209215 373.96976 677.1135 443.52084 724.2936 5 0.33414325 414.31128 611.4501 450.61896 693.1278 5 0.32894632 335.2088 675.2753 458.46954 729.0076 5 0.28051752 339.54553 687.1542 396.2367 718.0243 5 0.1995969 428.3487 456.64764 565.5217 689.7817 5 0.18984552 328.3084 636.15735 418.3329 690.0841 5 0.1895924 380.02332 610.9501 463.8592 736.499 5 0.1807245 467.36218 595.9828 585.5344 674.95886 5 0.15032127 330.5133 680.59436 390.69147 734.2433 5 0.13651799 496.35196 599.19934 579.4106 649.76135 5 0.119667016 408.57654 626.19415 433.56055 694.78534 5 0.09342548 162.13728 362.05402 249.12862 443.90186 5 0.083792515 390.8107 624.76794 439.40012 701.65796 5 0.081484824 392.6887 632.061 421.91806 687.61176 5 0.07665996 325.5296 687.6774 366.9275 742.93976 5 0.07356482 328.05017 559.3432 415.1687 612.8365 5 0.07349249 341.11005 553.6626 450.71075 723.54333 5 0.07066104 449.20715 563.7797 573.28656 695.7579 5 0.06769118 323.7561 692.8976 457.31586 743.0934 5 0.05704517 411.16074 534.6686 475.96347 696.4762 5 0.055492364 339.61914 682.34863 374.2834 726.55896 5 0.05431443 410.09787 653.3288 447.70322 699.68585 5 0.051102016 283.61398 683.518 301.58755 748.3129 6 0.23975742 431.94287 457.8038 565.8073 680.83514 6 0.15265238 328.59134 640.89825 351.78018 683.00555 7 0.99982375 602.8817 513.5067 951.70715 1019.15015 7 0.99968755 216.13734 52.466034 454.77118 481.60806 7 0.99958354 118.21431 414.78833 328.54614 714.4133 7 0.9917459 449.22543 599.3607 641.7229 872.4225 7 0.9891978 388.3795 179.81528 605.70386 545.15393 7 0.98286414 257.83087 440.43158 431.23907 582.22736 7 0.9735103 645.6304 330.59283 873.51135 597.6912 7 0.9127691 551.704 344.02014 713.6345 601.94586 7 0.3490993 605.31354 603.76465 643.43036 765.0043 7 0.24048153 324.06442 559.8435 465.44016 661.8092 7 0.20313671 332.09674 535.52435 456.40515 742.87823 7 0.17892686 214.5785 690.978 252.59206 734.19214 7 0.15898989 555.5373 588.55865 652.0677 761.22174 7 0.092228286 621.81915 603.6428 658.10834 754.2732 7 0.0764071 478.73624 595.679 583.9116 664.0578 7 0.061481304 447.746 715.62976 482.3453 829.0696 7 0.056957174 318.07047 554.52496 439.38876 623.43365 7 0.053336952 449.71265 596.8336 586.5945 759.9116 ,test/0000.jpg
0 0.08204299 641.68115 645.1615 686.20264 831.70764 3 0.06351267 342.23795 253.60335 741.42236 699.48975 5 0.99860674 135.8813 0.0 495.9829 305.10736 5 0.97764367 347.6597 251.07202 748.8877 697.1903 5 0.6685993 129.29996 0.0 757.26465 711.9033 6 0.910952 761.1454 651.086 894.42395 995.8327 ,test/0001.jpg
0 0.9757529 878.72516 465.79794 1018.81415 633.68146 0 0.44802833 70.949875 274.44672 417.29425 562.5204 0 0.44520053 693.8341 346.5869 1002.506 369.05945 0 0.4239594 314.3001 340.43268 1014.961 374.65753 0 0.37857133 63.022034 277.22943 427.98447 404.42242 0 0.33737123 790.6631 443.46075 1024.0 1003.26337 0 0.31293532 471.24628 508.72687 788.2885 655.9559 0 0.28302222 532.565 575.2172 748.1702 653.2646 0 0.24619424 284.5729 330.40298 1024.0 395.6686 0 0.24043253 969.63135 231.55716 1023.75684 247.23804 0 0.11706636 660.50354 288.41876 741.9684 325.19098 0 0.11678497 301.54837 351.43445 1024.0 502.8092 0 0.11280476 0.0 236.30089 146.75627 476.33936 0 0.10467928 966.28644 229.64781 1022.8909 240.75426 0 0.0896416 287.4027 321.1968 1013.8004 622.85315 0 0.07465409 748.88324 227.68149 877.3797 237.569 0 0.06680268 308.7216 311.4779 1024.0 370.74756 0 0.06490142 83.52702 329.7169 343.2422 514.4275 0 0.06406963 331.84503 488.83228 839.55853 721.2373 0 0.056582842 724.9436 225.19807 881.75354 258.50327 0 0.0561348 678.97064 224.75789 921.1009 271.4443 1 0.9548341 293.5899 346.18054 972.0948 751.0383 1 0.91500264 780.8867 432.4486 1024.0 1024.0 1 0.8743913 667.79486 226.43266 1024.0 332.5092 1 0.8052353 82.427795 280.12125 387.36395 603.7706 1 0.69641966 416.17657 266.18213 642.04694 329.8736 1 0.64126754 674.08185 229.24373 778.81354 325.43567 1 0.42575464 0.0 238.54364 146.67506 480.9212 1 0.37122393 735.4717 230.14621 918.1815 326.56094 1 0.29813278 18.42276 272.13727 429.5471 398.49426 1 0.25276658 866.82635 228.83028 1022.9245 377.5443 1 0.2339512 329.68347 480.37854 825.7577 748.3142 1 0.19181098 969.6646 232.22726 1024.0 250.03622 1 0.16026436 955.0531 224.10382 1023.7628 376.96735 1 0.11523746 291.6995 347.7032 1024.0 543.32275 1 0.064191006 0.0 243.22452 150.95331 360.02103 3 0.1932954 0.0 234.03859 150.13663 484.47675 3 0.0712178 1001.3703 303.26495 1024.0 398.4602 4 0.9675135 867.9645 241.57887 917.2478 325.58246 4 0.546172 999.3418 303.234 1024.0 399.13293 4 0.060617566 0.0 235.91455 148.57465 478.9162 5 0.39263377 0.0 235.91455 148.57465 478.9162 5 0.20496702 971.2598 232.75182 1023.79584 248.02467 5 0.07126602 868.36145 238.14664 918.11743 326.42923 6 0.1089269 301.54837 351.43445 1024.0 502.8092 6 0.056251943 294.19543 333.67435 1004.0093 658.39197 7 0.32327574 748.88324 227.68149 877.3797 237.569 7 0.06465717 726.00525 226.38199 887.349 242.71915 ,test/0002.jpg
0 0.17098187 857.81744 312.5949 1022.1391 769.862 9 0.9980166 168.8135 268.3499 910.92175 818.2979 9 0.5320842 174.23181 729.0593 1024.0 1022.1526 9 0.39003763 858.044 308.33112 1021.9693 781.0982 9 0.37802452 50.369415 0.0 1024.0 385.3471 9 0.17116356 2.5068512 176.00201 324.02875 1024.0 ,test/0003.jpg
0 0.88444144 428.00598 411.32275 647.47375 568.8802 0 0.23622055 300.3581 350.7744 880.93585 775.25415 0 0.13336311 382.10062 250.49556 634.3462 571.4784 0 0.100075394 418.95886 370.75378 869.67896 618.71643 0 0.060311873 174.72342 250.87518 659.8624 678.4213 1 0.98531055 196.51498 279.84366 894.1532 778.3142 1 0.36981347 433.54413 389.00217 882.28156 627.08167 1 0.080070004 174.72342 250.87518 659.8624 678.4213 1 0.05073075 382.10062 250.49556 634.3462 571.4784 ,test/0004.jpg
0 0.1398887 426.5707 672.4402 455.68222 710.1627 2 0.9997367 352.27637 232.63066 772.9746 714.32275 ,test/0005.jpg
0 0.9370263 893.5214 786.9984 1022.4677 916.86633 0 0.8795228 601.4606 0.0 702.47034 83.82778 0 0.86507916 296.30075 638.2068 385.041 750.6267 0 0.4884677 0.108932495 50.799072 69.29166 221.69882 0 0.13600494 507.7465 0.0 533.5575 42.80179 0 0.07562388 436.23083 0.5069885 477.42194 26.498743 0 0.060551777 0.0 808.02997 88.42774 942.26434 0 0.050926413 644.72076 0.0 700.7735 109.693245 1 0.09394887 893.66797 787.16833 1022.82324 916.15137 3 0.54597425 0.4568138 49.27497 69.54178 222.94861 4 0.99712235 429.57367 15.688881 639.88116 267.5147 4 0.13240664 352.93567 449.841 838.94434 724.89496 5 0.96781176 349.28528 449.79297 838.8263 724.4717 5 0.1771171 194.41121 658.9994 308.1549 879.03455 5 0.09384243 0.05996704 51.02999 69.2553 221.61804 5 0.07646153 0.0 808.4793 88.11359 942.2083 6 0.12409656 600.7276 0.2736435 697.9493 83.41794 7 0.9019903 274.2087 9.518333 416.30038 168.79657 7 0.072155446 0.37571716 50.643364 68.65284 222.03659 ,test/0006.jpg
0 0.57776684 76.39087 78.587616 973.8367 1004.71423 0 0.29228634 323.15393 100.89276 933.834 767.0467 0 0.114178285 287.65137 508.65674 974.21277 1024.0 0 0.08903734 476.48312 451.95984 893.27673 740.70044 0 0.088419706 0.0 867.37885 20.90947 1022.5052 0 0.06389325 880.36914 557.3846 929.3071 677.1181 1 0.9610768 881.36743 892.6418 1013.95215 1021.7459 1 0.47610754 0.0 865.70465 21.108255 1021.59894 1 0.12244215 436.44028 960.93207 518.7435 1024.0 1 0.11797664 991.4699 935.992 1023.69147 1021.0396 1 0.115928054 881.2802 557.62573 928.9948 677.99536 1 0.0853364 440.97705 889.2972 589.879 1024.0 1 0.060874477 211.40102 882.6529 593.74854 1024.0 7 0.15403898 0.0 867.37885 20.90947 1022.5052 9 0.8072111 328.91385 90.31528 956.6017 760.66003 9 0.5149878 73.2337 78.31647 977.39703 1013.19366 9 0.08065957 567.83344 90.89647 980.6545 574.33765 9 0.06616687 476.48312 451.95984 893.27673 740.70044 ,test/0007.jpg
0 0.8113965 105.28167 906.97675 168.59981 970.15546 0 0.1501699 359.7932 496.61035 462.81348 681.1289 0 0.087873295 227.00247 491.973 342.58493 555.2209 1 0.8905384 645.1698 638.45844 723.19946 763.36115 1 0.42519468 360.98758 496.5027 468.15427 610.2009 1 0.3613436 104.22682 906.79175 168.7253 970.62634 1 0.055306915 221.44164 492.28558 355.203 560.3227 1 0.05500353 152.70926 572.3919 206.23407 665.6479 2 0.29183134 360.51593 496.8836 467.9839 608.4455 5 0.24343197 261.73154 583.40826 302.19595 682.53986 5 0.09789148 660.6686 446.2681 816.5742 618.569 6 0.9911902 777.08923 281.20905 977.2351 618.93866 6 0.31455493 359.89294 498.10452 463.25702 672.27094 6 0.14263014 660.6686 446.2681 816.5742 618.569 7 0.9989467 379.04907 477.95532 701.2742 882.94727 7 0.9988703 1.9699173 611.6726 178.50021 872.4346 7 0.9981462 164.03995 525.23627 466.5649 957.28156 7 0.98940873 1.0484467 364.95966 271.31726 636.99744 7 0.91946083 670.85284 525.28906 785.75616 701.254 7 0.8492827 342.5116 115.68532 417.15326 222.01701 7 0.80213374 546.7605 417.95724 710.86426 598.5938 7 0.43435794 165.07068 497.51767 348.5204 588.0616 7 0.41776258 359.85132 495.82776 463.57642 685.1703 7 0.36575654 147.33281 662.24963 182.6121 729.8091 7 0.33180955 226.89684 492.01724 342.7663 555.9266 7 0.29705188 655.6442 448.38116 818.6241 620.47406 7 0.2723976 395.26498 601.38074 454.39902 684.5929 7 0.26101652 526.2562 431.80496 802.6522 647.6112 7 0.08607764 587.6685 491.01257 706.17487 636.8707 7 0.07364771 586.4562 472.81927 787.3583 700.71844 7 0.061016586 2.2909956 675.4011 20.698257 826.7991 7 0.05149389 142.08444 498.56876 355.1518 664.08795 7 0.050877146 634.7337 517.65753 717.75934 631.85834 ,test/0008.jpg
0 0.99790144 276.26398 100.55469 669.8793 969.5891 ,test/0009.jpg
