PredictionString,image_id
0 0.29656163 481.30887 612.7071 500.509 661.51227 0 0.14253671 328.06396 640.4542 345.0053 683.447 0 0.0699989 485.60962 591.74426 587.1732 656.6233 1 0.9903065 554.57605 104.202675 758.02405 360.09763 1 0.537606 242.49728 410.42596 289.50937 485.03766 1 0.22035672 637.39594 254.28006 738.84784 337.3453 1 0.1244702 578.5833 172.65958 690.47955 362.7056 1 0.10590389 163.92432 357.0912 253.3316 444.5561 1 0.08182062 665.97284 259.6473 730.32965 321.26303 1 0.080713004 244.63026 681.7074 302.31128 748.64685 1 0.05981432 446.59845 725.3271 482.33673 824.9173 5 0.9848355 336.02936 635.96405 395.875 726.0086 5 0.95030713 244.84541 681.71326 302.0774 748.6666 5 0.8530296 495.7437 595.044 585.4013 651.72577 5 0.79816103 388.60464 680.8223 426.7236 719.1578 5 0.5712622 396.96683 622.8322 444.59848 692.9395 5 0.5193583 331.21484 641.03723 461.8781 731.14246 5 0.30376965 346.97153 672.59076 444.02383 724.7034 5 0.23438543 326.75583 641.2303 351.89108 683.43097 5 0.18592435 387.4364 641.8338 441.85938 722.4299 5 0.11862012 382.8143 549.4502 444.7145 719.7623 5 0.10235325 414.53345 554.7896 441.44043 605.3448 5 0.09484 325.95938 686.37445 354.15256 741.4084 5 0.07339783 393.1822 634.02216 416.43146 686.2935 5 0.051196445 416.69437 609.53015 453.51645 696.6317 6 0.9515122 431.9468 455.2065 562.65546 673.5413 7 0.99992776 597.31244 498.3217 953.77057 1019.51526 7 0.99987674 222.26677 58.409164 454.59192 473.12 7 0.99961865 116.75635 414.4167 329.63925 711.86993 7 0.99579346 452.8474 586.24084 646.3992 873.9868 7 0.9931185 386.44977 185.96945 606.9091 552.7213 7 0.9780096 627.381 327.77405 880.2765 607.86554 7 0.9745507 555.7489 339.2 710.6581 590.638 7 0.9628804 267.46198 422.61026 434.63525 583.28735 7 0.5587497 329.42725 560.80115 446.537 646.3782 7 0.1638541 324.3176 569.9095 395.47372 621.43695 7 0.07724514 217.87808 688.44415 251.9502 734.3825 7 0.07513563 329.84308 544.46545 460.25018 734.39465 7 0.0695948 214.92719 676.6224 276.88254 730.8566 7 0.06277938 484.22717 593.5879 595.81934 655.6677 ,test/0000.jpg
0 0.6278753 642.52747 650.7509 686.2278 822.0107 2 0.0524063 344.27603 250.00351 756.8871 695.6914 3 0.8202446 343.61646 247.83356 755.7473 696.29474 5 0.9955434 129.99185 0.0 501.27255 303.76392 5 0.8244972 341.72583 245.67091 754.6864 696.8442 6 0.9617596 766.15466 658.957 897.18176 995.9731 ,test/0001.jpg
0 0.8253464 875.3643 467.44678 1018.41656 640.1068 0 0.3428324 777.0076 444.53647 1024.0 1024.0 0 0.32203457 345.06622 337.61462 980.3287 370.37152 0 0.26781014 82.25041 263.33582 413.78802 598.4865 0 0.25340095 1.5602036 242.76746 137.88626 456.96948 0 0.18944544 652.86774 345.11325 1008.3675 368.4946 0 0.15531778 325.0504 331.07455 1003.0332 461.1111 0 0.07932036 819.69354 783.47424 881.9765 949.71313 0 0.071363375 383.4053 321.62827 633.021 345.53702 0 0.0700056 67.02878 292.51636 156.11957 510.6839 0 0.061010092 758.2471 226.86609 868.66943 239.37503 0 0.055222336 372.6318 322.06396 645.76306 367.09723 0 0.052211765 271.5527 320.93243 992.09155 386.0462 0 0.052185833 356.92487 342.62173 658.20123 362.5367 1 0.97948545 88.93283 262.66003 412.03134 601.2941 1 0.9627694 778.10956 444.91898 1024.0 1024.0 1 0.94156325 673.5173 229.77896 791.60504 323.3035 1 0.91712767 668.5043 227.33743 974.0713 327.3726 1 0.73091835 421.6309 269.67023 642.1717 332.15686 1 0.6341491 283.64838 344.77173 987.44257 748.834 1 0.59023905 0.047203064 245.97531 137.86188 442.96036 1 0.40297762 375.6445 506.3947 817.91785 748.538 1 0.31174263 954.0736 231.3022 1023.4922 384.49603 1 0.24442518 968.04254 231.4133 1021.94586 249.46625 1 0.11849337 326.72574 304.72342 1004.24316 553.20215 1 0.109253354 751.63916 228.73138 1019.97156 380.2318 1 0.06766653 806.36926 231.23506 964.8124 350.72098 1 0.053010352 746.68805 226.92711 870.74677 239.25447 3 0.1856024 1001.11395 308.78876 1024.0 398.4442 3 0.09113657 1.6425858 242.5983 138.93665 455.14847 4 0.92180246 868.9923 244.97299 917.8479 326.50974 5 0.08634117 1.7028503 242.53276 138.41652 456.51135 6 0.6009841 315.8281 330.5254 1005.4076 540.73126 6 0.059705473 797.4104 320.92075 961.2842 347.22324 6 0.053221893 821.8142 416.00137 1022.4313 487.01468 7 0.10065639 758.81195 226.73047 869.2524 239.73724 ,test/0002.jpg
0 0.084494166 0.0 27.146423 369.09326 1024.0 0 0.08107019 96.034454 693.39923 948.6323 1024.0 9 0.99928814 161.89838 260.2336 921.67706 839.91016 9 0.25276887 3.2565613 0.0 1015.2904 478.68213 9 0.1292171 194.43112 730.5961 1004.3645 1024.0 ,test/0003.jpg
0 0.91875994 443.10376 404.5901 653.0099 559.03815 0 0.34382507 207.22327 255.44748 871.985 781.9335 0 0.060243625 411.96936 277.07208 723.4933 579.9396 1 0.9593774 207.87491 260.579 871.57666 783.9026 1 0.1766886 451.46368 367.18314 863.16656 611.0002 1 0.06593828 411.96936 277.07208 723.4933 579.9396 9 0.06628181 450.12262 405.2387 652.4135 557.5872 ,test/0004.jpg
1 0.06797255 355.43396 228.81773 767.9177 717.1104 2 0.99860495 355.1388 232.42497 768.9442 717.2465 ,test/0005.jpg
0 0.9990484 894.6622 786.6051 1022.13446 917.7529 0 0.463886 192.9847 623.26416 309.20837 873.8612 0 0.08586551 599.42847 0.0 703.6493 86.12102 3 0.104266025 192.53539 618.5772 308.80087 874.9748 3 0.06787858 1.1061325 49.988785 67.36 221.18575 4 0.99832505 431.28577 17.361061 639.1658 266.43024 4 0.30484813 352.9228 446.28156 835.1419 724.13947 5 0.943809 352.08478 445.77228 834.4742 722.4472 5 0.81534684 0.8106575 49.91131 67.5697 220.99158 5 0.112374075 192.59232 623.20374 309.03156 873.3374 7 0.9890239 275.3383 13.091141 410.88596 170.46973 ,test/0006.jpg
0 0.9776375 40.42337 107.51697 997.1853 969.5233 0 0.2309452 319.29175 91.23779 946.04443 758.53174 0 0.22131416 887.2921 897.1441 1019.32935 1021.79974 0 0.11430167 183.51767 577.67694 1010.3358 1024.0 1 0.8707801 889.33203 898.64545 1018.2954 1022.9184 7 0.984414 0.0 862.6935 22.767145 1023.7954 9 0.4804353 289.5247 92.919525 969.1798 759.2678 ,test/0007.jpg
0 0.99968946 104.51155 905.6506 167.50896 971.267 0 0.2200216 353.6886 127.28327 420.51892 223.30289 0 0.06498555 360.25827 499.05884 457.80325 672.9015 1 0.9899244 642.1729 639.71924 722.1801 763.91223 1 0.17931324 357.05035 499.88544 449.44653 610.4556 1 0.06531002 361.56985 1.453331 416.9249 88.11785 2 0.21150468 358.2209 500.06232 446.78967 605.8431 5 0.15578294 150.56078 560.84595 202.17918 666.1991 5 0.11747157 147.30013 535.58246 250.41914 671.47394 5 0.096511275 259.78345 589.691 303.42896 687.5997 5 0.09556669 13.105888 497.06485 152.0419 550.15875 5 0.08992178 3.885666 363.7665 268.5705 597.3082 5 0.076023825 11.473991 403.72 172.3663 558.60516 6 0.9986702 777.26685 278.28595 974.984 614.0095 6 0.13745415 360.25827 499.05884 457.80325 672.9015 7 0.99984455 378.0733 457.98624 696.8997 890.96545 7 0.99983156 160.7528 532.6931 472.53662 965.0206 7 0.99814117 1.205162 615.4178 185.35715 877.1235 7 0.98712754 5.3723145 360.3545 272.37875 629.6497 7 0.97534865 235.23607 491.91156 336.2885 556.2823 7 0.85428816 673.9155 518.60706 791.5454 696.4525 7 0.67822665 542.66724 424.34967 715.6249 656.67804 7 0.56054384 360.21564 498.576 457.9096 674.57697 7 0.27125126 353.78494 127.20135 420.63626 223.3233 7 0.20830664 660.8714 451.39148 816.4799 606.5178 7 0.12348978 140.8251 625.30554 187.63702 729.8666 7 0.10509551 5.107025 617.86365 175.49567 707.5631 7 0.07528713 228.08986 492.1642 299.12634 543.78796 7 0.05093941 375.8567 587.43677 406.4485 650.1631 ,test/0008.jpg
0 0.99097073 265.11032 112.12982 670.38684 987.97015 ,test/0009.jpg
