PredictionString,image_id
0 0.80825675 480.6371 610.7505 506.46576 661.27966 0 0.73428524 489.92578 592.819 577.58594 648.855 0 0.18217978 496.41595 630.01654 577.1917 758.84247 0 0.17365602 492.4556 602.8655 636.3207 745.3822 0 0.12241005 444.41052 593.50806 639.27734 828.7921 0 0.08153918 216.63855 696.7483 248.98419 735.68604 0 0.06644282 424.85974 614.1764 453.10175 683.7007 0 0.05979254 388.79443 627.706 425.89178 717.9992 0 0.05431377 504.51398 641.1706 590.8901 718.70013 1 0.993425 561.3107 102.364685 757.92487 362.16943 1 0.8696071 635.912 171.7533 738.1422 334.24725 1 0.78771186 573.0979 211.39496 677.1432 357.41205 1 0.77671 632.6999 247.84023 734.18536 332.8341 1 0.39289996 668.302 258.78674 727.55396 317.23914 1 0.21087065 572.92444 117.631996 725.58057 274.69208 1 0.12107698 552.1476 324.56366 743.3627 606.91425 1 0.09480075 159.63931 410.28836 287.68472 506.7974 1 0.0898231 541.788 119.0316 697.84503 438.0954 1 0.0704168 715.8898 309.28854 783.3008 366.18344 1 0.06625405 242.96584 406.88287 325.17984 474.24994 1 0.06431745 378.7946 101.71068 758.2073 576.479 1 0.052197367 416.64594 449.94366 568.2269 630.13715 5 0.96528614 243.37947 684.0273 302.38742 748.98175 5 0.9330755 333.42584 632.9603 398.92883 723.62134 5 0.8642842 387.83997 682.1359 424.823 719.7359 5 0.540692 425.17322 445.7986 568.2171 671.4437 5 0.51555485 337.23727 671.3197 479.74124 742.69653 5 0.50348216 411.32913 550.04663 443.8765 607.9426 5 0.42910334 328.60406 639.49866 351.27448 683.6804 5 0.3988355 338.6698 683.57324 433.7807 724.6764 5 0.37268656 386.07452 613.4812 463.26093 722.85706 5 0.30975866 339.72134 688.9659 396.88132 720.9057 5 0.2599791 491.88412 595.94214 584.34607 649.3889 5 0.24169455 335.06693 686.8651 361.30508 742.0912 5 0.1660104 388.79443 627.706 425.89178 717.9992 5 0.11369689 410.12936 610.4828 456.16898 703.496 5 0.11279204 410.84787 551.2694 486.59982 674.5862 5 0.10154662 373.9579 677.5317 472.364 727.0766 5 0.100485265 324.4379 563.68884 417.504 617.7938 5 0.08837895 406.34103 554.4014 572.8439 660.2629 5 0.07591527 559.3292 602.33826 603.26184 642.76355 5 0.06541543 393.4335 630.7683 420.5538 692.1732 5 0.06513211 390.84366 648.7694 465.4379 691.3562 5 0.06506619 384.25385 688.259 395.36536 718.60834 5 0.057796787 422.6073 616.7505 461.01373 680.6096 5 0.05015452 418.01523 611.413 515.5397 664.54913 6 0.24800284 416.64594 449.94366 568.2269 630.13715 7 0.9998568 602.53613 514.9149 956.484 1024.0 7 0.9997732 216.91452 47.46675 459.44302 469.32416 7 0.9982552 118.34204 414.07532 332.90414 715.69836 7 0.9973654 390.44165 175.0079 609.30194 548.7936 7 0.996608 449.34143 593.09076 654.1172 879.02655 7 0.9849621 649.11365 326.9391 877.8624 602.56244 7 0.97473633 260.81927 414.38885 428.1662 603.34534 7 0.9533429 554.89197 326.86505 744.09753 608.5684 7 0.68630105 324.05734 562.9601 418.70273 619.0902 7 0.36650434 252.89581 405.1137 338.07953 612.413 7 0.15442911 445.86737 704.3913 483.07312 823.77167 7 0.0940723 614.9308 609.1063 660.0585 748.2401 7 0.08324269 327.9386 564.75055 453.25323 641.49384 7 0.0769858 543.3435 425.92087 574.37085 477.40012 7 0.056841537 445.3199 681.40515 471.66376 735.9945 7 0.05653912 112.23562 416.8473 206.57758 632.9353 ,test/0000.jpg
0 0.055736914 637.5065 644.7288 709.54675 826.1364 5 0.99926263 345.5409 240.72862 759.0398 694.2106 5 0.96652824 142.58444 0.0 491.61215 304.84418 5 0.06999704 139.73239 0.0 769.5841 695.4524 6 0.27799731 756.7258 658.7271 904.9188 997.1181 ,test/0001.jpg
0 0.9804585 880.0961 467.69568 1020.4913 634.22217 0 0.82055014 310.01978 326.81805 1007.2992 378.05774 0 0.41171524 454.71115 508.3713 822.12244 674.2962 0 0.38030064 77.35672 274.30963 414.25534 596.8537 0 0.27335835 325.91803 334.36792 1024.0 427.7621 0 0.2498037 544.0138 579.2915 756.9414 657.67395 0 0.21770936 0.0 233.57812 157.7124 407.87897 0 0.18671417 282.0767 326.45557 988.3524 714.8978 0 0.11910759 789.0254 429.00818 1024.0 1024.0 0 0.115737975 813.9535 783.26843 912.0686 1008.2435 0 0.11251842 570.0658 318.64453 991.9951 394.71167 0 0.10837021 747.1045 226.15927 875.8777 237.22852 0 0.104464374 971.558 229.77353 1022.3568 245.40707 0 0.09968289 467.79266 497.91418 823.6849 551.2628 0 0.08678217 673.36786 229.50244 795.8526 325.0243 0 0.082267284 344.27887 335.08975 647.45123 364.58017 0 0.07532694 77.51149 291.8524 406.1529 395.99283 0 0.074776486 353.4982 320.17386 682.8699 372.4285 0 0.071576245 827.24963 324.169 1017.7197 685.9239 0 0.058813453 534.812 345.77722 1011.72 367.79218 0 0.05599808 117.45585 282.62085 265.2134 606.4739 1 0.97588706 676.02216 226.47685 1007.78485 332.98126 1 0.9708657 777.93036 432.40256 1024.0 1023.69995 1 0.9306328 295.46753 319.54672 957.57104 751.0078 1 0.85526097 80.48979 272.91156 392.04077 606.72766 1 0.65121984 672.4929 229.69621 796.4718 324.83405 1 0.61779904 971.5674 230.03745 1023.2654 247.93365 1 0.6030601 421.37912 268.9283 644.07104 326.63217 1 0.55668575 950.56586 227.07208 1024.0 374.9626 1 0.19538657 0.94234467 239.89076 150.34003 402.51477 1 0.17962985 320.07016 308.46207 1024.0 382.86288 1 0.17859678 21.168564 275.20026 429.03998 467.26648 1 0.11724785 300.5284 330.86694 1024.0 558.79456 1 0.09602187 342.64203 225.14555 1024.0 493.00708 1 0.087019235 906.18115 232.55063 1011.5759 377.05807 1 0.07085729 373.22223 499.084 842.94366 743.6727 1 0.06546069 727.4551 225.73627 904.81006 326.13165 1 0.054366022 937.8151 305.1503 1024.0 368.96805 1 0.052130718 637.78754 209.37299 1021.43866 608.58704 2 0.12775972 0.94234467 239.89076 150.34003 402.51477 3 0.20090389 0.0 240.10925 151.60608 408.77362 3 0.1100997 1001.30865 305.2679 1024.0 335.35788 3 0.10059159 994.685 303.22055 1024.0 390.78043 4 0.95563585 866.1962 244.84322 916.4162 325.9115 4 0.36356136 997.13617 303.47836 1024.0 397.2911 5 0.06500526 0.019073486 232.43054 155.43597 452.65155 5 0.052962154 866.08307 243.75919 917.0484 325.77768 6 0.06865425 325.91803 334.36792 1024.0 427.7621 6 0.053869072 289.48587 325.53278 993.56946 691.8137 7 0.08774231 774.6032 447.13724 1024.0 1024.0 7 0.08138014 747.1045 226.15927 875.8777 237.22852 ,test/0002.jpg
0 0.05545541 0.0 39.931885 398.99457 1016.3324 9 0.9987092 158.04178 267.07245 935.1477 821.2592 9 0.72353625 54.75186 0.0 994.5642 1024.0 9 0.24564584 0.0 686.0536 1024.0 1024.0 ,test/0003.jpg
0 0.9799075 441.91672 406.63794 651.2098 558.52014 0 0.72425246 422.34357 266.1431 672.0379 569.65955 0 0.6033688 198.41095 278.4649 884.93414 762.61115 0 0.09615368 416.03674 313.50934 879.1786 651.5342 0 0.091551095 294.18042 531.5448 842.23816 767.0863 0 0.053058013 243.90486 259.3949 687.3437 615.41394 1 0.8574147 213.51431 304.40146 894.0176 781.4429 1 0.8452417 440.57367 363.47107 878.65765 618.49304 1 0.4688861 196.68169 425.02368 497.9749 657.4209 1 0.18277036 206.11865 406.73447 676.0226 756.22485 1 0.07086685 411.95618 287.64752 750.1963 589.7868 ,test/0004.jpg
2 0.99975806 340.40808 230.48212 781.44275 722.5204 ,test/0005.jpg
0 0.82184803 895.5098 785.8399 1021.34174 918.74457 0 0.6964295 598.8481 0.0 701.09686 85.72543 0 0.1167105 194.8374 635.59106 305.48373 874.60767 0 0.09398974 0.0 52.21575 69.24226 221.96143 3 0.16749619 0.0 53.535553 69.11536 220.97348 4 0.99378175 431.02374 11.835022 645.8713 276.2441 4 0.7758683 362.21283 443.91455 833.52594 721.7201 5 0.48137078 0.0 52.21575 69.24226 221.96143 5 0.45396265 361.8294 442.60345 834.0667 724.35187 5 0.36529157 194.64256 637.2983 306.08044 875.1254 7 0.9974721 277.20773 13.58831 409.77042 169.49707 7 0.18589976 0.0 53.535553 69.11536 220.97348 ,test/0006.jpg
0 0.8663182 27.387024 49.63806 1010.3305 995.16187 0 0.73066175 296.77048 65.83862 990.9938 735.0987 0 0.22951719 490.66632 912.71075 1008.59015 1019.4344 0 0.12830357 11.055649 237.60867 450.4773 1001.7279 0 0.11254659 330.05643 654.7278 1012.61755 1024.0 0 0.10167346 84.60123 239.8039 639.8423 777.434 0 0.062971726 0.0 862.90656 22.160795 1019.90643 0 0.055411834 447.2116 746.89575 852.9506 1017.57874 1 0.96966076 883.2171 891.6869 1016.80927 1023.59937 1 0.3813888 295.9445 505.73022 442.79074 668.5272 1 0.33342174 0.0 862.6551 22.136951 1019.8526 1 0.33230975 880.5872 559.20386 929.8326 683.43066 1 0.277078 438.15063 960.62805 510.93976 1024.0 1 0.06377097 107.22153 185.0828 478.93283 662.35657 7 0.10978652 0.0 861.1306 22.152718 1020.71313 9 0.58485836 299.2559 64.859436 995.541 736.3658 ,test/0007.jpg
0 0.92519784 104.75782 907.8645 168.0074 970.87085 0 0.10492261 359.65668 498.66867 467.84674 607.7857 1 0.963085 642.15796 637.18427 720.1763 763.8266 1 0.5548851 154.424 569.75 202.92506 660.3799 1 0.318582 226.508 491.37015 289.90778 543.5036 1 0.18795629 104.314064 907.79095 168.14682 971.1717 1 0.14130631 361.76178 0.9475746 414.2611 87.16481 1 0.091934174 359.65668 498.66867 467.84674 607.7857 1 0.07592862 667.502 471.69412 813.27545 608.88855 2 0.52517134 359.27737 498.7154 467.4247 606.57477 2 0.0997264 154.27666 570.1952 202.16942 659.29626 2 0.09030196 227.16153 491.52777 288.13724 543.2104 5 0.7246779 680.1513 519.81256 786.0346 696.2137 5 0.2034033 359.467 498.77817 466.88797 606.29785 5 0.17884319 524.6239 422.43988 830.3185 610.7784 5 0.14608344 154.4338 569.7694 202.47968 660.0681 5 0.07752325 774.61255 275.48596 975.28284 618.1522 6 0.92853254 774.552 275.17505 975.94556 616.034 7 0.9988844 376.74524 468.75256 703.5221 887.4779 7 0.99869615 160.2958 511.39868 466.37436 963.7389 7 0.98728 3.9901428 353.0181 265.7617 635.3224 7 0.977476 4.0545807 571.3291 175.52318 878.57715 7 0.9172253 360.2069 499.33188 468.15015 701.1466 7 0.89196056 540.0679 423.6941 712.2672 627.95935 7 0.8305856 680.9877 521.34125 785.6638 696.83673 7 0.781941 340.1593 117.12931 420.11017 220.59296 7 0.47238803 525.34424 420.72925 790.369 696.85 7 0.46244663 393.91296 599.47986 453.80255 678.7915 7 0.3701706 225.3398 491.304 291.56613 543.67 7 0.23574474 154.24857 492.24307 350.4769 684.5315 7 0.19283445 8.529587 584.39465 171.9349 712.43225 7 0.13915808 0.0 533.2965 40.078026 700.45496 7 0.10877763 217.02025 489.38748 354.99835 567.45667 7 0.07159824 382.14935 598.6232 405.78943 675.9383 7 0.0667044 141.32669 468.10663 274.94827 733.6661 7 0.062499173 173.06328 491.28397 335.0376 596.69586 7 0.06059102 652.3978 530.1523 720.45386 604.84955 7 0.057653338 142.81186 515.50885 282.12515 586.7164 7 0.05485409 375.042 577.29584 451.97107 696.6037 7 0.052072745 667.502 471.69412 813.27545 608.88855 ,test/0008.jpg
0 0.9992453 247.90388 96.92157 664.7473 991.2415 ,test/0009.jpg
0 0.58238727 32.346848 608.19934 379.40594 873.22375 0 0.06695493 11.497765 808.0698 216.008 905.73694 0 0.060158808 26.400055 588.2068 699.18945 904.2145 1 0.06769324 7.4736786 816.8284 252.89946 911.414 4 0.9970216 190.85092 323.8441 657.0785 473.86966 5 0.58614117 23.87584 599.6259 490.78143 852.75165 5 0.18410715 44.360962 595.691 485.93744 720.4913 7 0.9906279 1.7373352 866.22974 399.74854 1022.53467 7 0.20976745 10.558395 595.2306 435.17242 945.937 7 0.08934331 42.85025 611.5785 335.9428 854.4758 7 0.054849558 7.4736786 816.8284 252.89946 911.414 ,test/0010.jpg
0 0.18437207 609.1052 250.9459 774.52576 337.9841 0 0.13637127 696.1445 326.2694 919.5983 475.97864 0 0.119166076 10.623871 0.0 631.06604 812.343 0 0.11041358 483.0589 295.9314 991.9025 704.7055 0 0.07468574 5.219681 440.30753 329.75287 652.79553 0 0.06657796 749.45636 249.95123 781.4511 342.9229 0 0.06191348 0.0 626.12634 526.6324 1024.0 0 0.060614165 736.4991 246.38782 773.3171 333.61133 0 0.056454282 7.329178 432.1908 164.22623 774.7157 0 0.052585017 626.9891 314.65506 761.57794 435.66507 0 0.051075134 642.94366 269.94147 738.9953 295.34412 1 0.6259721 820.3406 679.1974 990.8943 852.21814 1 0.27904963 0.0 736.9639 38.394535 933.62384 1 0.21489291 0.0 741.1628 77.71323 928.6645 1 0.07334488 627.9908 314.21582 767.0064 428.9732 1 0.05855252 689.8753 326.90857 919.5877 477.19446 2 0.22893713 696.3519 326.0422 919.244 475.66068 3 0.060973875 625.1735 308.4213 763.7747 443.45016 3 0.052709218 696.3519 326.0422 919.244 475.66068 4 0.11685184 627.46204 316.77676 761.90857 447.30936 5 0.9982381 819.1993 262.1389 998.88324 410.6414 5 0.9846423 457.06427 107.95424 772.83075 340.6916 5 0.91701955 30.456451 618.57367 1000.89404 1010.289 5 0.90619236 678.87146 412.88507 883.083 561.02686 5 0.83997744 490.60416 354.80484 1024.0 704.0355 5 0.8190347 16.538239 555.5326 565.93286 1020.463 5 0.7193263 651.012 339.36197 914.4683 705.26465 5 0.61936456 51.419403 507.99768 666.7843 845.4779 5 0.56093186 605.4103 249.9966 772.7417 335.88144 5 0.5065279 58.922333 632.19226 515.74097 812.44775 5 0.4690666 408.95673 777.89905 931.9838 1024.0 5 0.39827487 624.9547 315.13562 757.5979 444.39618 5 0.38529658 334.84088 512.41077 701.02594 714.2329 5 0.33116773 694.63684 326.1239 919.35657 476.9651 5 0.26678473 4.8311768 116.999084 675.6676 821.6541 5 0.17324653 0.0 612.1014 258.81955 1016.74567 5 0.13403969 613.7919 183.71701 776.0099 349.0142 5 0.09303016 488.78122 327.87244 736.85376 745.25354 5 0.08921004 648.91797 679.6528 1013.4225 1024.0 5 0.08457116 426.6353 818.652 527.54266 1024.0 5 0.08441538 762.90045 443.91553 1018.5938 709.50745 5 0.068732575 200.51843 584.1926 484.8435 892.70935 5 0.06752911 115.02237 502.4566 654.95703 700.7415 5 0.06157526 618.2434 247.2156 770.06396 410.61392 5 0.056530364 694.3834 171.79167 785.17847 332.71472 6 0.96687317 21.593658 148.79614 536.7457 679.5741 6 0.2781387 221.79416 327.78537 546.8064 587.23706 6 0.20195101 0.9537811 391.17816 319.54144 657.1672 6 0.16178581 259.48608 340.92734 527.20386 492.6575 6 0.056023736 376.87802 353.29895 528.5697 532.3696 7 0.38923156 696.8003 325.9798 919.2174 475.7644 7 0.16314733 483.0589 295.9314 991.9025 704.7055 7 0.16217433 620.5569 255.74266 767.7234 456.91113 7 0.10793521 604.32153 250.9721 770.81274 336.24823 7 0.078396425 339.01324 509.77783 646.98535 718.3115 ,test/0011.jpg
0 0.6603202 294.9571 413.54156 552.89435 797.67487 7 0.78741497 294.2854 413.46002 552.23016 797.4599 ,test/0012.jpg
0 0.123126425 367.19888 389.94083 805.0879 456.02292 0 0.10207521 212.60135 479.50967 308.68088 503.00015 0 0.095631726 158.97601 499.23422 229.29944 525.70355 1 0.9919872 298.03366 303.20416 867.5088 644.0285 1 0.9863657 184.4114 383.348 476.27988 486.1506 1 0.9701044 223.33682 472.8578 519.26074 808.1819 1 0.9573096 233.07848 350.25415 291.19067 401.54297 1 0.608004 181.65408 347.40005 293.85425 493.89035 1 0.5945332 251.0333 321.35168 497.90646 492.6253 1 0.48495147 213.5121 479.0206 307.30307 500.60452 1 0.4293418 486.26736 639.998 547.1733 671.41437 1 0.39791796 235.04079 390.65625 277.41983 419.38318 1 0.30318892 443.43234 492.2871 559.47876 618.40125 1 0.2793375 161.87575 474.11823 501.3714 527.8329 1 0.1612951 218.8493 465.89365 493.53802 490.80258 1 0.15909879 197.3897 474.36444 606.2759 645.7596 1 0.109524295 234.93794 703.0963 313.13794 747.94507 1 0.105866455 400.59583 491.4882 538.81824 665.95325 1 0.099495344 195.77675 435.24316 480.3355 499.7019 1 0.0894948 435.76804 468.10263 502.18478 706.81323 1 0.08913594 241.16576 658.09344 519.8522 807.0971 1 0.08215064 299.3527 383.7683 449.2382 521.62665 1 0.0792102 159.31902 483.57452 309.91632 520.54047 1 0.0688155 205.21478 474.6532 516.0459 498.97565 1 0.06788982 361.01892 445.64218 754.99084 654.6184 1 0.06344435 420.2041 612.73 494.37347 715.84937 1 0.06171544 395.5939 491.1246 477.7549 620.6593 1 0.059917014 245.1509 612.05334 506.01733 748.004 1 0.054596283 231.49347 362.47235 322.60583 491.656 1 0.05234753 271.49963 308.31384 564.0117 567.4466 6 0.54446495 241.79292 676.453 521.6005 806.4492 ,test/0013.jpg
